obs,tse_id,url,estado,cidade,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
,PA-07621/2016,https://tribunalsdecisions.service.gov.uk/utiac/pa-07621-2016,PA,XINGUARA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PA-07695/2016,https://www.diarioonline.com.br/noticias/para/noticia-420702-aurenice-ribeiro-lidera-pesquisa-em-tome-acu.html,PA,TOMÉ-AÇU,1,P,1.0,,,Aurenice Ribeiro,29.1,Bruna Eudes,20.9,Amilton Caliman,20.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PA-07695/2016,https://www.diarioonline.com.br/noticias/para/noticia-420702-aurenice-ribeiro-lidera-pesquisa-em-tome-acu.html,PA,TOMÉ-AÇU,1,P,0.0,,,Aurenice Ribeiro,25.6,Bruna Eudes,20.1,Amilton Caliman,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PA-08170/2016,https://pebinhadeacucar.com.br/institutos-desmentem-pesquisas-falsas-que-circulam-em-parauapebas/,PA,PARAUAPEBAS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PA-08329/2016,https://tribunalsdecisions.service.gov.uk/utiac/pa-08329-2016-5e1d2fc9-bcdc-4d12-a20b-979a43897d26,PA,SÃO MIGUEL DO GUAMÁ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PB-06083/2016,https://topeleicoes.polemicaparaiba.com.br/bom-sucesso/,PB,BOM SUCESSO,1,P,,,,Pedro Caetano,57.4,Benedito Filho,38.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PB-06083/2016,https://topeleicoes.polemicaparaiba.com.br/noticias/primeira-pesquisa-eleitoral-para-prefeito-na-historia-de-bom-sucesso-pb-foi-registrada/,PB,BOM SUCESSO,1,P,1.0,,,Pedro Caetano,58.3,Benedito Filho,36.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PB-06083/2016,https://topeleicoes.polemicaparaiba.com.br/noticias/primeira-pesquisa-eleitoral-para-prefeito-na-historia-de-bom-sucesso-pb-foi-registrada/,PB,BOM SUCESSO,1,P,0.0,,,Pedro Caetano,57.4,Benedito Filho,38.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PE-00912/2016,http://www.surubimnoticia.com.br/2016/,PE,SURUBIM,1,P,,,,Ana Célia,40.0,Túlio Vieira,31.0,Dr. Valdi,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PE-02852/2016,https://giro.matanorte.com/destaques/pesquisa-registrada-aponta-guiga-dispara-com-53-em-vicencia/,PE,VICÊNCIA,1,P,,,,Guiga Nunes,53.0,Tita Jeronimo,17.0,Dija,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
