tse_id,url,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
BA-00014/2012,https://www.youtube.com/watch?v=xIuXiKHOFO4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-00016/2012,https://iguateminoticiasonline.blogspot.com/2012/05/divulgada-pesquisa-eleitoral-dos-pre.html,1,P,1.0,0.0,0.0,DR PAULO CARDOSO AZEVEDO,0.46,RICARDO RIBEIRO,0.27,GERARDO AZEVEDO JÚNIOR,0.15,PAULO LESSA PEREIRA,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-00016/2012,https://iguateminoticiasonline.blogspot.com/2012/05/divulgada-pesquisa-eleitoral-dos-pre.html,1,P,1.0,0.0,0.0,DR PAULO CARDOSO AZEVEDO,0.53,RICARDO RIBEIRO,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-00027/2012,http://mandacarudaserra.com.br/arquivo/2012/junho.html,1,P,0.0,0.0,0.0,RICARDO RIBEIRO,"9,6%",DR PAULO CARDOSO AZEVEDO,"6,5%",CARLÃO,"2,4%",EMERSON LEAL,"1,6%",GERARDO JÚNIOR,"1,5%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-00027/2012,http://mandacarudaserra.com.br/arquivo/2012/junho.html,1,P,1.0,0.0,0.0,RICARDO RIBEIRO,"36,2%",DR PAULO CARDOSO AZEVEDO,"31,1%",GERARDO AZEVEDO JÚNIOR,"6,5%",PAULO LESSA PEREIRA,"1,8%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-00129/2012,http://mandacarudaserra.com.br/arquivo/2012/setembro.html,1,P,,0.0,0.0,DR PAULO CARDOSO AZEVEDO,0.57,RICARDO RIBEIRO,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-00331/2012,http://livrozilla.com/doc/834319/614---2%C2%AA-c%C3%A2mara-de-coordena%C3%A7%C3%A3o-e-revis%C3%A3o,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-00366/2012,"https://www.bnews.com.br/noticias/politica/eleicoes/44767,edson-junior-lidera-as-pesquisas-em-varzea-nova-com-44-2-das-intencoes-de-voto.html",1,P,1.0,0.0,0.0,EDSON JÚNIOR,"44,2%",DION,"40,3%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-00401/2012,https://blogdecasanovaouro.blogspot.com/2012/10/eleicoes-2012-ourolandia-joao-dantas.html,1,P,1.0,0.0,0.0,JOÃO DANTAS DE CARVALHO,"49,8%",YHONARA FREIRE,"46,5%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-00529/2012,https://girandopelabahia.blogspot.com/2012/10/duas-pesquisas-para-prefeito-foram.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-04730/2016,"https://www.bnews.com.br/noticias/politica/eleicoes-2016/154012,pesquisa-de-ibitita-aponta-atual-prefeito-na-lideranca.html",1,P,1.0,0.0,0.0,CAFU BARRETO,"63,4%",DR AFONSO,"27,3%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-05826/2016,http://jorgequixabeira.ucoz.com/news/dore_de_almeida_lidera_pesquisa_em_sao_jose_do_jacuipe/2016-09-28-59545,1,P,,0.0,0.0,DORE DE ALMEIDA,0.49,ERISMAR DE ARMADINHO,"45,9%",ROBSON,"3,1%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-06978/2016,https://folharegionalbahia.com.br/folha-regionalrio-do-pires-vanio-lidera-com-51-das-intencoes-de-votos/,1,P,1.0,0.0,0.0,VÂNIO,0.51,VALTINHO,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-07159/2016,http://sertaobaiano.com.br/noticia/ricardo-lidera-corrida-eleitoral-em-lapao-com-564-dos-votos,1,P,1.0,0.0,0.0,RICARDO RODRIGUES,"56,4%",HERMENILSON CARVALHO,"39,3%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-07159/2016,http://sertaobaiano.com.br/noticia/ricardo-lidera-corrida-eleitoral-em-lapao-com-564-dos-votos,1,P,1.0,0.0,0.0,RICARDO RODRIGUES,"58,6%",HERMENILSON CARVALHO,"36,7%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-07848/2016,http://www.acheisudoeste.com.br/arquivo/07/2016,1,P,1.0,0.0,0.0,RICARDO RIBEIRO,"42,84%",EMERSON LEAL,"33,97%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-07848/2016,http://www.acheisudoeste.com.br/arquivo/07/2016,1,P,1.0,0.0,0.0,RICARDO RIBEIRO,"38,21%",EMERSON LEAL,"31,94%",ERASMO DA MANGA,"3,1%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-08004/2016,https://chiquitinhamaravilha.blogspot.com/2016/09/politica-baiana-e-brasileiranoticias.html,1,P,1.0,0.0,0.0,LUIZINHO SOBRAL,"61,3%",ELMO VAZ,"29,3%",DORINHA LÉLIS,"1,5%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-08004/2016,https://chiquitinhamaravilha.blogspot.com/2016/09/politica-baiana-e-brasileiranoticias.html,1,P,0.0,0.0,0.0,LUIZINHO SOBRAL,"57,8%",ELMO VAZ,0.27,DORINHA LÉLIS,"0,5%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-09059/2016,https://www.bahianoticias.com.br/municipios/noticia/6925-pesquisa-aponta-que-reinaldinho-seria-eleito-mais-uma-vez-em-xique-xique.html,1,P,0.0,0.0,0.0,REINALDO BRAGA FILHO,"56,6%",EDUARDO,"30,7%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-09059/2016,https://www.bahianoticias.com.br/municipios/noticia/6925-pesquisa-aponta-que-reinaldinho-seria-eleito-mais-uma-vez-em-xique-xique.html,1,P,1.0,0.0,0.0,REINALDO BRAGA FILHO,"59,3%",EDUARDO,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-09331/2016,http://www.culturaerealidade.com.br/noticia/pesquisa-eleitoral-e-questionada-em-central-3047,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-09360/2016,"https://www.bnews.com.br/noticias/politica/eleicoes-2016/155635,pesquisa-em-ibitita-aponta-para-reeleicao-do-prefeito-cafu-barreto.html",1,P,1.0,0.0,0.0,CAFU BARRETO,"66,06%",DOUTOR AFONSO,"30,29%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-00045/2012,https://trt-18.jusbrasil.com.br/jurisprudencia/21553640/45201200918005-go-00045-2012-009-18-00-5-trt-18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-00110/2012,https://www.jusbrasil.com.br/jurisprudencia/busca?q=Adiamento+de+Audi%C3%AAncia%2C+Aus%C3%AAncia+do+Advogado+VIAGEM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-00149/2012,https://trt-18.jusbrasil.com.br/jurisprudencia/21947805/149201201118006-go-00149-2012-011-18-00-6-trt-18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-00165/2012,https://trt-18.jusbrasil.com.br/jurisprudencia/21851785/165201200618003-go-00165-2012-006-18-00-3-trt-18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-00277/2012,https://www.goiasinterior.com.br/conteudo/editorias/cidades/aloandia/instituto-ipcm-aponta-ismael-com-51.html,1,V,1.0,0.0,0.0,ISMAEL RODRIGUES DE SOUSA,"51,67%",SINOMAR JOSÉ DO CARMO,"43,75%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-00281/2012,https://trt-18.jusbrasil.com.br/jurisprudencia/21916619/281201214118008-go-00281-2012-141-18-00-8-trt-18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-00365/2012,https://trt-18.jusbrasil.com.br/jurisprudencia/21916750/365201200518000-go-00365-2012-005-18-00-0-trt-18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-00366/2012,https://trt-18.jusbrasil.com.br/jurisprudencia/21778772/366201218118005-go-00366-2012-181-18-00-5-trt-18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
