obs,outro id,tse_id,url,,estado,sg_ue,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
,,AC-02237/2018,http://www.oriobranco.net/noticia/politica/21-02-2018-a-oito-meses-da-eleicao-pesquisa-aponta-empate-tecnico-para-o-governo-e-disputa-acirrada-para-o-senado,2503309000120,AC,ACRE,1,S,1.0,,,SERGIO PETECAO,"22,8",JORGE VIANA,"21,3",MARA ROCHA,"20,1",NEY AMORIM,"14,4",MINORU KIMAPARA,"9,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AC-02237/2018,http://www.oriobranco.net/noticia/politica/21-02-2018-a-oito-meses-da-eleicao-pesquisa-aponta-empate-tecnico-para-o-governo-e-disputa-acirrada-para-o-senado,2503309000120,AC,ACRE,1,S,1.0,,,SERGIO PETECAO,"23,7",JORGE VIANA,"21,1",MARCIO BITTAR,"20,2",NEY AMORIM,13,MINORU KIMAPARA,"8,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AC-02237/2018,https://3dejulhonoticias.com.br/2018/02/17/prefeito-marcus-alexandre-aparece-a-frente-de-gladson-cameli-em-pesquisa-para-o-governo-do-acre/,2503309000120,AC,ACRE,1,G,,,,MARCUS ALEXANDRE,"39,6",GLADSON CAMELI,"38,1",CORONEL ULYSSES ARAUJO,"10,9",LIRA XAPURI,"1,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AC-07555/2016,https://pedorelha.blogspot.com/2016/09/branca-menezes-vira-o-jogo-e-esta-em.html#!,2503309000120,AC,SENADOR GUIOMARD,1,P,,,,BRANCA MENEZES,"26,2",ANDRE MAIA,"24,1",JORGE CATALAN,"20,7",NEY DO MILTAO,"9,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AC-09321/2016,https://oaltoacre.com/pesquisa-aponta-empate-tecnico-em-brasileia/,2503309000120,AC,BRASILÉIA,1,P,,,,FERNANDA HASSEM,43,MANOEL PRETE,"42,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AM-00061/2014,https://amazonasatual.com.br/tres-pesquisas-deixam-de-ser-divulgadas-no-amazonas-no-2o-turno/,20252668000133,AM,AMAZONAS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GO-00001/2014,BR-00009/2014,https://cidademais.blogspot.com/,5850850000100,BR,BRASIL,1,G,1.0,,,MARCONI PERILLO,39,VANDERLAN CARDOSO,20,JUNIOR FRIBOI,13,ANTONIO GOMIDE,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GO-00001/2014,BR-00009/2014,https://cidademais.blogspot.com/,5850850000100,BR,BRASIL,1,G,0.0,,,MARCONI PERILLO,18,IRIS REZENDE,7,VANDERLAN CARDOSO,3,JUNIOR FRIBOI,2,ANTONIO GOMIDE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GO-00027/2014,BR-00047/2014,https://issuu.com/diariodegoias/docs/fortiorimar14goveavaliacao,5850850000100,BR,BRASIL,1,G,1.0,,,MARCONI PERILLO,41,VANDERLAN CARDOSO,16,JUNIOR FRIBOI,15,ANTONIO GOMIDE,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GO-00027/2014,BR-00047/2014,https://issuu.com/diariodegoias/docs/fortiorimar14goveavaliacao,5850850000100,BR,BRASIL,1,G,0.0,,,MARCONI PERILLO,18,IRIS REZENDE,5,JUNIOR FRIBOI,3,VANDERLAN CARDOSO,3,ANTONIO GOMIDE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DF-00007/2014,BR-00054/2014,http://www.saopaulonasentrelinhas.com.br/2014/04/liliane-roriz-continua-firme-como-vice.html,15484760000199,BR,BRASIL,1,G,1.0,,,LILIANE RORIZ,"16,9",RODRIGO ROLLEMBERG,"14,75",GIM ARGELLO,"7,3",ELIANA PEDROSA,"6,9",IZALCI LUCAS,"6,3",LUIZ PITIMAN,"4,8",JOFRAN FREJAT,"3,5",ADELMIR SANTANA,"2,9",VALMIR CAMPELO,"2,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DF-00011/2014,BR-00139/2014,http://www.saopaulonasentrelinhas.com.br/2014/06/sucessao-em-brasilia-azul-3463-e.html,15484760000199,BR,BRASIL,1,G,,,,JOSE ROBERTO ARRUDA,"26,65",ELIANA PEDROSA,"5,18",LUIZ PITIMAN,"2,8",AGNELO DO PT,"14,43",ROLLEMBERG,"8,4",TONINHO DO PSOL,"6,45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GO-00048/2014,BR-00229/2014,https://diariodegoias.com.br/fortiori-marconi-tem-vantagem-de-dez-pontos-sobre-iris/,5850850000100,BR,BRASIL,1,G,0.0,,,MARCONI PERILLO,23,IRIS REZENDE,9,VANDERLAN CARDOSO,3,ANTONIO GOMIDE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
