tse_id,url,cidade,estado,util,position,estimulada,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16
AM-00006/2012,https://www.portalmarcossantos.com.br/2012/07/17/pesquisa-mostra-que-arthur-vanessa-e-serafim-terao-que-se-engalfinhar-na-briga-pelo-segundo-turno/,MANAUS,AM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-00006/2012,https://www.skyscrapercity.com/threads/amazonas-not%C3%ADcias-xiii.1528391/,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-00012/2012,https://issuu.com/blogdoholanda/docs/120820140507-090b82a37e8d4a0db0ac87d23417bdb3/2,MANAUS,AM,1,P,1.0,,Arthur Virgílio,29.65,Vanessa GRAZIOTIN,18.8,SERAFIM CORREA,13.95,SABINO CASTELO BRANCO,8.53,HENRIQUE OLIVEIRA,8.43,PAUDERNEY AVELINO,5.14,JERONIMO MARANHÃO,0.48,HERBERTH AMAZONAS,0.39,LUIZ NAVARRO,0.19,,,,,,,,,,,,,,
AM-00018/2014,https://www.portalmarcossantos.com.br/2014/07/29/pesquisa-da-rede-tiradentes-mostra-eduardo-braga-com-22-pontos-a-frente-de-jose-melo-na-capital-e-32-no-interior/,AMAZONAS,AM,1,G,1.0,,EDUARDO BRAGA,53.43,JOSÉ MELO,27.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-00018/2014,https://www.portalmarcossantos.com.br/2014/07/29/pesquisa-da-rede-tiradentes-mostra-eduardo-braga-com-22-pontos-a-frente-de-jose-melo-na-capital-e-32-no-interior/,AMAZONAS,AM,1,S,1.0,,OMAR AZIZ,54.99,FRANCISCO PRACIANO,17.24,MARCELO SERAFIM,10.38,JULIO FERRAZ,1.07,,,,,,,,,,,,,,,,,,,,,,,,
AM-00025/2012,https://issuu.com/blogdoholanda/docs/relat__rio_mau__s__2012_2__20120926144838/2,MAUÉS,AM,1,P,1.0,,ALFREDO,14.03,ANDREA,14.25,JUNIOR LEITE,14.43,PADRE CARLOS,38.01,,,,,,,,,,,,,,,,,,,,,,,,
AM-00030/2014,https://www.portalmarcossantos.com.br/2014/08/18/pesquisa-dmp-rede-tiradentes-mostra-braga-com-5059-e-melo-com-3094-das-intencoes-de-votos/,AMAZONAS,AM,1,S,1.0,,OMAR AZIZ,58.13,FRANCISCO PRACIANO,13.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-00030/2014,https://www.portalmarcossantos.com.br/2014/08/18/pesquisa-dmp-rede-tiradentes-mostra-braga-com-5059-e-melo-com-3094-das-intencoes-de-votos/,AMAZONAS,AM,1,G,1.0,,EDUARDO BRAGA,50.59,JOSÉ MELO,30.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-00047/2014,https://issuu.com/amazonasemtempo/docs/emtempo-04-10-14/17,AMAZONAS,AM,1,S,,,OMAR AZIZ,59.2,FRANCISCO PRACIANO,24.6,MARCELO SERAFIM,6.7,MARCOS QUEIROZ,1.3,JONAS ALMEIDA,0.4,JULIO FERRAZ,0.2,,,,,,,,,,,,,,,,,,,,
AM-00047/2014,https://issuu.com/amazonasemtempo/docs/emtempo-04-10-14/17,AMAZONAS,AM,1,DF,,,MARCOS ROTTA,12.3,HISSA ABRAHÃO,10.3,ARTUR BISNETO,8.9,ALFREDO NASCIMENTO,8.0,CONCEIÇÃO SAMPAIO,7.0,SILAS CÂMARA,6.2,SABINO CASTELO,5.9,PAUDERNEY AVELINOO,5.6,CARLOS SOUZA,5.0,MESSIAS CURSINO,3.6,ÁTILA LINS,2.6,NILMAR OLVEIRA,2.3,GADEÃO AMORIM,1.9,JOÃO PEDRO,1.9,ERON BEZERRA,1.5,WALFRAN TORRES,0.3
