url,tse_id,cidade,estado,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15
https://artigo.rededigital.net/s/educa-mais-brasil-vivo-tv/,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.scribd.com/document/412390594/sr-08-sao-paulo,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.saopaulonasentrelinhas.com.br/2014/09/pesquisa-eleitoral-acre.html,AC-00022/2014,ACRE,AC,1,S,,,,PERPETUA ALMEIDA,46.0,GLADSON CAMELI,37.0,ROBERTO DUARTE,4.0,,,,,,,,,,,,,,,,,,,,,,,,
https://www.ac24horas.com/2014/08/18/juiz-defere-liminar-para-suspender-a-divulgacao-de-nova-pesquisa-do-vox-populi/,AC-00033/2014,ACRE,AC,1,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.ac24horas.com/2014/09/18/vox-populi-sebastiao-aparece-com-51-bocalom-tem-21-bittar-17-e-rocha-1/,AC-00042/2014,ACRE,AC,1,G,0.0,,,SEBASTIAO VIANA,46.0,TIAO BOCALOM,18.0,MÁRCIO BITTAR,16.0,ANTONIO ROCHA,1.0,,,,,,,,,,,,,,,,,,,,,,
https://www.ac24horas.com/2014/09/18/vox-populi-sebastiao-aparece-com-51-bocalom-tem-21-bittar-17-e-rocha-1/,AC-00042/2014,ACRE,AC,1,G,1.0,,,SEBASTIAO VIANA,51.0,TIAO BOCALOM,21.0,MÁRCIO BITTAR,17.0,ANTONIO ROCHA,1.0,,,,,,,,,,,,,,,,,,,,,,
https://www.ac24horas.com/2014/09/18/vox-populi-sebastiao-aparece-com-51-bocalom-tem-21-bittar-17-e-rocha-1/,AC-00042/2014,ACRE,AC,1,G,1.0,,,GLADSON CAMELI,52.0,PERPETUA ALMEIDA,31.0,ROBERTO DUARTE,3.0,PROFESSOR FORTUNATO,1.0,,,,,,,,,,,,,,,,,,,,,,
http://www.oriobranco.net/noticia/politica/vox-populi-aponta-vitoria-de-tiao-viana,AC-00065/2014,BRASIL,BR,1,G,1.0,,,TIAO VIANA,52.0,MARCIO BITTAR,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.ac24horas.com/2014/10/25/sebastiao-viana-ganha-nas-pesquisas-da-vox-populi-e-ibope-mas-perde-na-delta/,AC-00068/2014,ACRE,AC,1,G,,,,SEBASTIAO VIANA,53.0,MARCIO BITTAR,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,
https://agazetadoacre.com/2018/08/pesquisa-da-vox-populi-aponta-ligeira-vantagem-de-marcus-alexandre-sobre-gladson-cameli/,AC-01360/2018,BRASIL,BR,1,G,1.0,,,MARCUS ALEXANDRE,34.0,GLADSON CAMELI,31.0,ULYSSES ARAÚJO,7.0,JANAINA FURTADO,1.0,DAVI HALL,1.0,,,,,,,,,,,,,,,,,,,,
