info_muni,candidate,correction
AÇAILÂNDIA,ALUISIO SOUSA,
AÇAILÂNDIA,DR BENJAMIM,
AÇAILÂNDIA,DR SILVIO VIEIRA,
AÇAILÂNDIA,JARDEL BOM JARDIM,
AÇAILÂNDIA,LUIZA FRIAGRO,
AÇAILÂNDIA,MALAQUIAS JUNIOR,
AÇAILÂNDIA,PROFESSOR MILTON,
AÇAILÂNDIA,SERGIO VIEIRA,
AÇAILÂNDIA,SILVANA SILVESTRE,
AFONSO CUNHA,ARQUIMEDES,
AFONSO CUNHA,CLAUDIA BACELAR,
AFONSO CUNHA,FLORIANO,
AFONSO CUNHA,MARIO BACELAR,
AFONSO CUNHA,ZE LEANE,
ALEGRETE DO PIAUÍ,LILA,
ALEGRETE DO PIAUÍ,MANOEL FILHO,
ALFENAS,AMADEU PELOSO,
ALFENAS,DECIO PAULINO,
ALFENAS,JOVANE JUNIOR,
ALFENAS,KATIA GOYATA,
ALFENAS,LUIZINHO,
ALFENAS,MARQUINHO SUS,
ALFENAS,PADRE WALDEMILSON,
ALFENAS,PEDRINHO,PEDRINHO MINAS ACONTECE
ALFENAS,PEDRINHO MINAS ACONTECE,
ALFENAS,POMPILIO,
ALFENAS,TONINHO MUNHOZ,
ALFENAS,WALDEMILSON,PADRE WALDEMILSON
ALPINÓPOLIS,JULIO BATATINHA,
ALPINÓPOLIS,LEO POSTO,
ALPINÓPOLIS,RAFAEL FREIRE,
ALPINÓPOLIS,ZE ACACIO,
ALTO ALEGRE DO PINDARÉ,ATENIR,
ALTO ALEGRE DO PINDARÉ,CLAUDIO,
ALTO ALEGRE DO PINDARÉ,FUFUCA,
ALTO ALEGRE DO PINDARÉ,NETINHO,
ALTO ALEGRE DO PINDARÉ,VILENE,
ALTO SANTO,ADELMO AQUINO,
ALTO SANTO,IRIS GADELHA,
ALTO SANTO,JOSE JOENI,
ALTOS,CARLINHOS LEAL,
ALTOS,MARCIO FONTENE,
ALTOS,MAXWELL MARINHA,
ALTOS,NETO DELMIRO,
AMAPÁ DO MARANHÃO,ALINE LACERDA,
AMAPÁ DO MARANHÃO,NELENE GOMES,
ANANINDEUA,BETO ANDRADE,
ANANINDEUA,CAPITAO MARCONY,
ANANINDEUA,CARLITO BEGOT,
ANANINDEUA,DR DANIEL,
ANANINDEUA,JEFFERSON LIMA,
ANANINDEUA,MIRO SANOVA,
ANANINDEUA,NEWTON PT,
ANASTÁCIO,ADRIANA ELIAS DETRAN,
ANASTÁCIO,DINHO VITAL,
ANASTÁCIO,DOUGLAS FIGUEIREDO,
ANASTÁCIO,MARCOS RONDON,
ANASTÁCIO,NILDO ALVES,
ANASTÁCIO,RICARDO CARPEJANI,
AQUIDAUANA,FAUZE SULEIMAN,
AQUIDAUANA,JOAQUIM PASSOS,
