info_muni,candidate,correction
ALTOS,MAXWELL MARINHA,NA
ALTOS,CARLINHOS LEAL,NA
ALTOS,NETO DELMIRO,NA
ALTOS,MARCIO FONTENE,NA
ANTÔNIO GONÇALVES,DUDU,NA
ANTÔNIO GONÇALVES,ROBERTO,NA
APICUM-AÇU,JADECO,NA
APICUM-AÇU,ZEQUINHA,NA
APICUM-AÇU,SANDRO,DR SANDRO
APICUM-AÇU,PASTOR,PASTOR ZE CARLOS
APICUM-AÇU,DR SANDRO,NA
APICUM-AÇU,PASTOR ZE CARLOS,NA
BELÉM,EDMILSON RODRIGUES,NA
BELÉM,SIMAO JATENE,NA
BELÉM,EDER MAURO,NA
BELÉM,URSULA VIDAL,NA
BELÉM,CASSIO ANDRADE,NA
BELÉM,THIAGO ARAUJO,NA
BELÉM,ARNALDO JORDY,NA
BELÉM,CELSO SABINO,NA
BELÉM,DELEGADO EGUCHI,NA
BELÉM,ORLANDO REIS,NA
BELÉM,GUSTAVO SEFER,NA
BELÉM,ZENALDO COUTINHO,NA
BELÉM,KLEBER RABELO,NA
BELÉM,MARIO COUTO,NA
BELÉM,VAVA MARTINS,NA
BELÉM,PRIANTE,NA
BELÉM,EDMILSON,EDMILSON RODRIGUES
BELO MONTE,DALMINHO,NA
BELO MONTE,ANTONIO CINTRA,NA
BELO MONTE,AVANIO FEITOSA,NA
BELO MONTE,VAL SANTANA,NA
BONITO,DR LAERCIO,NA
BONITO,ODILSON SOARES,NA
BONITO,JOSMAIL RODRIGUES,NA
BONITO,ROSILENE TEIXEIRA,NA
BONITO,ZE ARTHUR,NA
BONITO,GERALDO MARQUES,NA
BURITIRANA,TONY BRANDAO,NA
BURITIRANA,NETO SUPERMERCADO,NA
BURITIRANA,JERRY ADELMO,NA
BURITIRANA,PROF SILVANETE,NA
CABO FRIO,JOSE BONIFACIO,NA
CABO FRIO,DR SERGINHO,NA
CABO FRIO,MARQUINHOS MENDES,NA
CABO FRIO,ALAIR CORREA,NA
CABO FRIO,TENENTE MAURO BERNARD,NA
CABO FRIO,AQUILES BARRETO,NA
CABO FRIO,DR ADRIANO,NA
CABO FRIO,BOLSONARO,NA
CABO FRIO,CORONEL RUY FRANCA,NA
CABO FRIO,MAGDALA FURTADO,NA
CABO FRIO,DIRLEI PEREIRA,NA
CABO FRIO,JEFFERSON VIDAL,NA
CAMAÇARI,ANTONIO ELINALDO,NA
CAMAÇARI,IVONEIDE CAETANO,NA
CAMAÇARI,OZIEL,OZIEL ARAUJO
CAMAÇARI,FABIO LIMA,NA
CAMAÇARI,ANTONIO CARLOS SOARES,NA
CAMAÇARI,SOCRATES,NA
CAMAÇARI,PEDRINHO PEDRAO,NA
CAMAÇARI,OZIEL ARAUJO,NA
CAMAÇARI,ELINALDO ARAUJO,NA
CARAGUATATUBA,AGUILAR JUNIOR,NA
CARAGUATATUBA,CORONEL STANELIS,NA
CARAGUATATUBA,MATEUS VENEZIANI,NA
CARAGUATATUBA,DENNIS GUERRA,NA
CARAGUATATUBA,ALVARO ALENCAR,NA
CARAGUATATUBA,ANDERSON GUEIROS,NA
CARAGUATATUBA,JOSE MELLO,NA
CARAGUATATUBA,ANTONIO CARLOS,NA
CHAPECÓ,CARLOS AGNOLETTO,NA
CHAPECÓ,COMANDANTE RICARDO,NA
CHAPECÓ,ELIO CELLA,NA
CHAPECÓ,AMERICO NASCIMENTO,NA
CHAPECÓ,JOAO RODRIGUES,NA
CHAPECÓ,LUCIANE CARMINATTI,NA
CHAPECÓ,CLEITON FOSSA,NA
CHAPECÓ,CAROLINE TONI,NA
CHAPECÓ,LUCIANO JOSE BULIGON,NA
CHAPECÓ,MARCIO SANDER,NA
CHAPECÓ,IVAN CARLOS,NA
CHAPECÓ,PEDRO UCZAI,NA
CHAPECÓ,CLAUDIO VIGNATTI,NA
CHAPECÓ,ANTONIO REBELATTO,NA
CHAPECÓ,LEO GRANZOTTO,NA
CHAPECÓ,LUCIANO STOBE,NA
CHAPECÓ,LUCIANO BUGLIGON,NA
DIVINO DE SÃO LOURENÇO,RONALDO BORGES,NA
DIVINO DE SÃO LOURENÇO,ELEARDO BRASIL,NA
DIVINO DE SÃO LOURENÇO,LAUDINEIA MUTUCA,NA
ESPÍRITO SANTO,FERNANDO TEIXEIRA,NA
ESPÍRITO SANTO,CHICO ARAUJO,NA
FEIRA DE SANTANA,COLBERT,NA
FEIRA DE SANTANA,ZE NETO,NA
FEIRA DE SANTANA,CARLOS GEILSON,NA
FEIRA DE SANTANA,DAYANE PIMENTEL,NA
