info_muni,candidate,correction,,,,,,
AURELINO LEAL,RODRIGO ANDRADE,NA,,,,,,
AURELINO LEAL,DHONES ALMEIDA,NA,,,,,,
BELO HORIZONTE,ALEXANDRE KALIL,NA,,,,,,
BELO HORIZONTE,MAURO TRAMONTE,NA,,,,,,
BELO HORIZONTE,JOAO VITOR XAVIER,NA,,,,,,
BELO HORIZONTE,AUREA CAROLINA,NA,,,,,,
BELO HORIZONTE,EROS BIONDINI,NA,,,,,,
BELO HORIZONTE,PROFESSOR WENDEL,NA,,,,,,
BELO HORIZONTE,GABRIEL AZEVEDO,NA,,,,,,
BELO HORIZONTE,REGINALDO LOPES,NA,,,,,,
BELO HORIZONTE,MATEUS SIMOES,NA,,,,,,
BELO HORIZONTE,BEATRIZ CERQUEIRA,NA,,,,,,
BELO HORIZONTE,VANESSA PORTUGAL,NA,,,,,,
BELO HORIZONTE,PATRUS ANANIAS,NA,,,,,,
BELO HORIZONTE,RODRIGO PAIVA,NA,,,,,,
BELO HORIZONTE,BRUNO ENGLER,NA,,,,,,
BELO HORIZONTE,NILMARIO MIRANDA,NA,,,,,,
BELO HORIZONTE,ANDRE JANONES,NA,,,,,,
BENEDITO LEITE,RAMON BARROS,NA,,,,,,
BENEDITO LEITE,RODRIGO COELHO,NA,,,,,,
CABO DE SANTO AGOSTINHO,ANTONIO RESENDE,NA,,,,,,
CABO DE SANTO AGOSTINHO,LULA CABRAL,NA,,,,,,
CABO DE SANTO AGOSTINHO,ELIAS GOMES,NA,,,,,,
CABO DE SANTO AGOSTINHO,KEKO ARMAZEM,NA,,,,,,
CABO DE SANTO AGOSTINHO,VADO FARMACIA,NA,,,,,,
CACHOEIRA DO SUL,JOSE OTAVIO,NA,,,,,,
CACHOEIRA DO SUL,LEANDRO BALARDIN,NA,,,,,,
CACHOEIRA DO SUL,OSCAR SARTORIO,NA,,,,,,
CACHOEIRA DO SUL,CLEBER CARDOSO,NA,,,,,,
CACHOEIRA DO SUL,SERGIO GHIGNATTI,NA,,,,,,
CACHOEIRA DO SUL,LEIDI MARQUES,NA,,,,,,
CACHOEIRA DO SUL,CORONEL FRANCISCO,NA,,,,,,
CACHOEIRA DO SUL,GERCEI SILVEIRA,NA,,,,,,
CACHOEIRA DO SUL,MARTA CAMINHA,NA,,,,,,
CACHOEIRA DO SUL,CARLOS AGUIAR,NA,,,,,,
CACHOEIRA DO SUL,PAULO SCHWAB,NA,,,,,,
CANGUARETAMA,WELLINSON RIBEIRO,NA,,,,,,
CANGUARETAMA,IRMA LILA,NA,,,,,,
CANGUARETAMA,FRANCISCO PAZ,NA,,,,,,
CANGUARETAMA,GERALDO TORNADO,NA,,,,,,
CANGUARETAMA,FATIMA MARINHO,NA,,,,,,
CANGUARETAMA,PAULO CESAR,NA,,,,,,
CAPELA,SUKITA,ADALTO SUKITA,,,,,,
CAPELA,EZEQUIEL,NA,,,,,,
CAPELA,SILVANY,NA,,,,,,
CAPELA,ADALTO SUKITA,NA,,,,,,
CENTENÁRIO DO SUL,JUNIOR TAVIAN,NA,,,,,,
CENTENÁRIO DO SUL,CAIO PAZZOTTI,NA,,,,,,
CENTENÁRIO DO SUL,PERPETUA,NA,,,,,,
