"instituto",cnpj
"Solis",
"Mark Instituto de Pesquisa e Opinião",03011668000122
"Opinião Instituto de Pesquisas",73988917000110
"Instituto Methodus",00853528000103
"Datatempo/CP2",22642565000105
"Data Control",02170847000140
"Index Instituto de Pesquisas",10735713000157
"Única Pesquisas",03817479000141
"Instituto Veiga",15422597000130
"Doxa Pesquisa",07317438000147
"Perfil Pesquisas",09434008000130
"Datamax/Televox",03683644000110
"DataM3",05833992000151
"Limite Consultoria e Pesquisas de Marketing",96508015000134
"Instituto Mapa",83203646000101
"Alvo Pesquisas",04216356000118
"Datamax",03683644000110
"Instituto Mapear",11167150000100
"Toledo & Associados",43455062000109
"MDA",19090489000168
"Voice Pesquisas",11400305000107
"Studio Pesquisas",72113046000128
"Voga Pesquisas",05281052000105
"Datacerto",01503056000121
"Instituto MAS",03155494000171
"Data M",05833992000151
"Exata Opinião",03303870000128
"Alvorada Pesquisas",15293191000102
"Ibope",68802370000186
"Data AZ",09636807000190
"Phoenix",04942645000102
"TLD",
"Dados Pesquisa e Consultoria",14538940000143
"Multicultural",11371501000109
"Datafolha",07630546000175
"Delta Agência de Pesquisa",08984712000102
"Jales",08057107000188
"Brand",08438497000136
"RCB Borges",
"Datatempo",22642565000105
"Datavox",06195852000168
"IPMN",13807655000118
"Rondoniense",
"IDP",
"Accord",05590702000196
"Item",10307514000148
"Vale Consultoria",13102873000157
"Flex Consult",
"Iveiga",
"Dado Pesquisa e Consultoria",18886742000121
"Na fonte",08989649000199
"Stylo",86951993000100
"Radar",00481961000165
"Plataforma",08624076000108
"Instituto Multicultural",11371501000109
"Enquet Pesquisas",28500023000184
"Brasil Dados",19812752000185
"Diagnóstico Pesquisas",15015873000145
"CP2",22642565000105
"Instante Inteligência de Mercado e Opinião Pública",24989809000156
"Segmenta",19799000000121
"Veritá",00654576000172
"Projetar",15592807000138
"Access",06271706000174
"FLS",11262311000145
"MT Dados",11100635000187
"Instituto Instituto Veiga",15422597000130
"Gazeta Dados",05023065000176
"Vox Populi",19137793000113
"Paraná",81908345000140
"Amostra",20018384000187
"Pesquisa 365",
"Serpes",02678167000131
"Econométrica",11159115000140
"Valle",24314181000199
"Sebram",07268073000108
"Escutec",10892795000143
"Grupom",01096445000180
"Paraná Pesquisas",81908345000140
"Datailha",25240253000163
"Impar",06196072000132
"Exatta",
"Souza Lopes",05266474000101
"Múltipla",
"Amostragem",10320257000184
"Ranking",
"Consult",
"Futura",
"Dataplan",15063483000140
"Ipems",36781946000180
"Instituto P&A",16096182000186
"Ipespe",11849437000110
"Datamétrica",
"Opinar",19190101000109
"DataPoder360",29550908000150
"Certus",03127619000150
"Seta",10783981000144
"Real Time Big Data",29842579000111
"Vetor",00081933000150
"Opinião Consultoria",02501289000158
"Ibrape",
"Ipat",09470150000133
"Opine",
"Opinião Brasil",04483758000189
"Método",09219131000139
"Instituto França de Pesquisas",24899123000174
"FSB",11077560000160
