cannot_find_id,tse_id_new,tse_id,url,SG_UE,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul40,cand41,resul41,cand42,resul42,cand43,resul43,person,NM_UE,instituto,scenario
NA,BR-00539/2014,BR-00539/2014,https://ananindeuadebates.blogspot.com/2014/09/pesquisa-eleitoral-helder-34-x-jatene.html,BR,TRUE,pr,0,NA,NA,AECIO NEVES,9.8,DILMA,35.2,MARINA SILVA,37.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CLARA,NA,NA,514
NA,BR-00539/2014,BR-00539/2014,https://ananindeuadebates.blogspot.com/2014/09/pesquisa-eleitoral-helder-34-x-jatene.html,BR,TRUE,pr,1,NA,NA,AECIO NEVES,10.1,DILMA,37.4,MARINA SILVA,39.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CLARA,NA,NA,515
NA,BR-00618/2014,BR-00618/2014,http://www.bilhetim.com.br/index.php/artigos?start=96,BR,TRUE,pr,0,NA,NA,AECIO NEVES,11.3,DILMA,40.4,MARINA SILVA,31.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CLARA,NA,NA,554
NA,BR-00618/2014,BR-00618/2014,http://www.bilhetim.com.br/index.php/artigos?start=96,BR,TRUE,pr,1,NA,NA,AECIO NEVES,11.8,DILMA,42.7,MARINA SILVA,33.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CLARA,NA,NA,555
NA,BR-01092/2014,BR-01092/2014,http://www.bilhetim.com.br/index.php/artigos/343-iveiga-helder-bate-jatene-por-5-pontos,BR,TRUE,pr,0,NA,NA,AECIO NEVES,43.3,DILMA,49.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CLARA,NA,NA,697
NA,BR-01092/2014,BR-01092/2014,http://www.bilhetim.com.br/index.php/artigos/343-iveiga-helder-bate-jatene-por-5-pontos,BR,TRUE,pr,1,NA,NA,AECIO NEVES,43.8,DILMA,49.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CLARA,NA,NA,698
NA,BR-01201/2014,GO-00200/2014,https://cleubercarlos.blogspot.com/2014/10/em-goias-aecio-vence-dilma-aecio-5522.html,NA,TRUE,pr,NA,NA,1,AECIO NEVES,55.22,DILMA ROUSSEFF,44.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEDRO,GOIÁS,NA,1376
NA,RS-00009/2014,BR-00361/2014,http://minasgerais.ig.com.br/2014-08-15/1900508.html,NA,TRUE,g,NA,NA,NA,ANA AMELIA LEMOS,39,TARSO GENRO,30,JOSE IVO SARTORI,7,VIEIRA DA CUNHA,3,JOAO CARLOS RODRIGUES,1,ROBERTO ROBAINA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEDRO,BRASIL,NA,471
NA,RR-00394/2018,BR-02761/2018,https://www.xodonews.com.br/confira-as-pesquisas-realtime-big-data-para-11-estados-e-df-instituto-levantou-intencoes-de-votos-em-amapa-ms-mg-para-rj-rio-grande-do-norte-rs-rondonia-roraima-sp-sergipe-e-para-o-distrito/,NA,TRUE,g,NA,NA,1,ANTONIO DENARIUM,57,ANCHIETA JUNIOR,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEDRO,BRASIL,NA,792
NA,RR-06848/2018,BR-09892/2018,http://www.xodonews.com.br/confira-as-pesquisas-realtime-big-data-para-o-governo-dos-estados/,NA,TRUE,g,NA,NA,1,ANTONIO DENARIUM,61,ANCHEITA JUNIOR,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEDRO,BRASIL,NA,1048
NA,PI-04784/2018,BR-04300/2018,https://www.muraldavila.com.br/noticias/em-oeiras-indecisos-somam-mais-que-as-intencoes-de-voto-de-wellington-dias-72086.html,NA,TRUE,df,0,NA,NA,ASSIS CARVALHO,10.29,MAINHA,1.71,MAIA FILHO,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEDRO,BRASIL,NA,850
NA,PI-04784/2018,BR-04300/2018,http://folhadeoeiras.com/noticia/2975/DATA-AZ:-Wilson-Martins-lidera-na-corrida-para-o-Senado-em-Oeiras,NA,TRUE,de,0,NA,NA,B. SA,8.57,B. SA FILHO,6,MAURO TAPETY,5.71,DR. FRANCISCO,2.29,LIMA,1.71,HELIO ISAIAS,1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEDRO,BRASIL,NA,849
NA,SE-07705/2018,BR-02137/2018,http://espacolivrenoticias.com.br/pesquisa-realtime-big-data-mostra-belivaldo-com-16-pontos-frente-de-vf/,NA,TRUE,g,NA,NA,1,BELIVALDO CHAGAS,58,VALADARES FILHO,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEDRO,BRASIL,NA,746
NA,SE-06389/2018,BR-03718/2018,http://www.xodonews.com.br/confira-as-pesquisas-realtime-big-data-para-o-governo-dos-estados/,NA,TRUE,g,NA,NA,NA,BELIVALDO CHAGAS,55,VALADARES FILHO,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEDRO,BRASIL,NA,832
NA,PR-00014/2014,BR-00358/2014,http://www.tvaraucaria.com/2014/09/,NA,TRUE,g,NA,NA,NA,BETO RICHA,45,ROBERTO REQUIAO,30,GLEISI HOFFMANN,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEDRO,BRASIL,NA,466
NA,SP-08589/2018,BR-06844/2018,https://www.ecolifeonline.com.br/32277,NA,TRUE,de,NA,NA,NA,CARLA MORANDO,12.15,ARTHUR MAMAE FALEI,7.24,AIDAN RAVIN,5.55,LUIZ FERNANDO,4.76,THIAGO AURICCHIO,4.56,ALMIR CICOTE,4.46,TEONILIO BARBA,4.36,PASTOR BITTENCOURT,1.14,LUIZ TURCO,89,JANAINA PASCOAL,89,WANDERLEI SIRAQUE,79,JULINHO FUZARI,74,ADMIR FERRO,69,CORONEL NISHIKAWA,69,PEDRO TERUJI,64,SANDRO NICODEMO,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OSCAR,BRASIL,NA,942
