OBS,1 = Preencher,tse_id,url,sg_uf,sg_ue,ds_cargos,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul40,cand41,resul41,cand42,resul42,cand43,resul43,person,nm_ue,instituto,estado,city,scenario,wrong,ID
,1,AC-03985/2018,https://agazetadoacre.com/2018/06/pesquisa-da-agencia-delta-aponta-que-disputa-ao-governo-do-estado-devera-ser-decidida-no-2o-turno/,AC,NA,"Senador, Deputado Federal, Deputado Estadual, Governador",TRUE,pr,NA,NA,NA,JAIR BOLSONARO,32.5,MARINA SILVA,18.08,LULA,17.66,GERALDO ALCKMIN,5.25,CIRO GOMES,2.25,FERNANDO COLLOR DE MELO,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEDRO,ACRE,NA,NA,NA,43,TRUE,4031
,1,AC-09321/2016,https://oaltoacre.com/pesquisa-aponta-empate-tecnico-em-brasileia/,AC,1058,"VEREADOR, PREFEITO",TRUE,p,0,NA,NA,FERNANDA HASSEM,43,MANOEL PRETE,42.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BIA,NA,NA,NA,NA,344,TRUE,5
,1,AC-09321/2016,https://amazonasatual.com.br/tres-pesquisas-deixam-de-ser-divulgadas-no-amazonas-no-2o-turno/,AM,AM,GOVERNADOR,TRUE,g,0,NA,NA,JOSE MELO,56.5,EDUARDO BRAGA,43.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BIA,NA,NA,NA,NA,343,TRUE,6
,1,AC-09321/2016,https://amazonasatual.com.br/tres-pesquisas-deixam-de-ser-divulgadas-no-amazonas-no-2o-turno/,AM,AM,GOVERNADOR,TRUE,g,0,NA,NA,JOSE MELO,54.4,EDUARDO BRAGA,45.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BIA,NA,NA,NA,NA,343,TRUE,7
,1,AC-09321/2016,https://amazonasatual.com.br/tres-pesquisas-deixam-de-ser-divulgadas-no-amazonas-no-2o-turno/,AM,AM,GOVERNADOR,TRUE,g,0,NA,NA,JOSE MELO,53,EDUARDO BRAGA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BIA,NA,NA,NA,NA,343,TRUE,8
,1,AM-00017/2014,https://amazonasatual.com.br/pesquisa-mostra-braga-com-587-contra-211-de-melo/,AM,AM,"SENADOR, GOVERNADOR",TRUE,pr,NA,NA,NA,DILMA ROUSSEFF,46.6,AECIO NEVES,11.4,EDUARDO CAMPOS,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEDRO,NA,NA,NA,NA,79,TRUE,3867
,1,AM-06089/2018,https://www.slideshare.net/pesquisa365/2-pesquisa-eleitoral-do-2-turno-pesquisa365,AM,AM,GOVERNADOR,TRUE,pr,1,NA,NA,FERNANDO HADDAD,39.3,JAIR BOLSONARO,49.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEDRO,NA,NA,NA,NA,136,TRUE,3886
,1,AM-06317/2018,https://emtempo.com.br/politica-amazonas/124081/wilson-lima-dispara-e-tem-70-da-intencao-de-votos-diz-pesquisa,AM,NA,Governador,TRUE,pr,0,NA,NA,JAIR BOLSONARO,52.55,FERNANDO HADDAD,37.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEDRO,AMAZONAS,NA,NA,NA,139,TRUE,4042
,1,AM-06317/2018,https://emtempo.com.br/politica-amazonas/124081/wilson-lima-dispara-e-tem-70-da-intencao-de-votos-diz-pesquisa,AM,NA,Governador,TRUE,pr,1,NA,NA,JAIR BOLSONARO,54.01,FERNANDO HADDAD,38.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEDRO,AMAZONAS,NA,NA,NA,141,TRUE,4044
,1,AM-06470/2018,https://www.slideshare.net/DurangoDuarte/3-pesquisa-eleitoral-de-2018-em-manaus-jul2018,AM,AM,DEPUTADO FEDERAL,TRUE,pr,1,NA,NA,JAIR BOLSONARO,30.3,MARINA SILVA,19.7,CIRO GOMES,63,GERALDO ALCKMIN,36,MANUELA D'AVILA,1.8,ALVARO DIAS,1.7,HENRIQUE MEIRELLES,14,FERNANDO HADDAD,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEDRO,NA,NA,NA,NA,142,TRUE,3887
