new_tse_id,tse_id,url,NM_UE,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43,manual_filename,SG_UE,obs,new_id,sg_uf.x,instituto,total,year,for_patch_2,person,for_patch_1,br_poll_id,state_poll_id
NA,MA-06768/2018,http://maranhaohoje.com/para-instituto-exata-maranhao-tem-o-eleitor-mais-consciente-e-definido-do-brasil/,NA,1,pr,1,NA,NA,LULA,66,JAIR BOLSONARO,13,MARINA SILVA,6,CIRO GOMES,4,GERALDO ALCKMIN,2,ALVARO DIAS,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,manual/15-(leva-geral_3-4(2200))-maricelia1-entrega.xlsx.csv,MA,NA,NA,NA,NA,0.92,2018,FALSE,NA,TRUE,NA,NA
BR-06919/2018,RJ-04258/2018,https://especiais.gazetadopovo.com.br/eleicoes/2018/pesquisas-eleitorais/datafolha/datafolha-para-presidente-no-rj-bolsonaro-lidera-com-38/,RIO DE JANEIRO,1,pr,1,NA,NA,JAIR BOLSONARO,38,CIRO GOMES,13,FERNANDO HADDAD,11,MARINA SILVA,8,GERALDO ALCKIMIN,5,HENRIQUE MEIRELLES,2,JOAO AMOEDO,2,ALVORO DIAS,1,GUILHERME BOULOS,1,CABO DACIOLO,1,JOAO GOULART FILHO,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,manual/21-(leva-geral2_leva6)-maricelia3(inc)-pedro17(comp)-entrega.xlsx.csv,NA,NA,NA,NA,NA,0.83,2018,FALSE,NA,TRUE,NA,NA
BR-00899/2018,RN-00960/2018,https://blogafonte.com.br/2018/10/26/realtime-big-data-presidente-no-rn-haddad-tem-55-e-bolsonaro-34/,RIO GRANDE DO NORTE,1,pr,1,NA,NA,FERNANDO HADDAD,55,JAIR BOLSONARO,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,manual/21-(leva-geral2_leva6)-maricelia3(inc)-pedro17(comp)-entrega.xlsx.csv,NA,NA,NA,NA,NA,0.89,2018,FALSE,NA,TRUE,NA,NA
BR-00899/2018,RN-00960/2018,https://guamarenews.com/pesquisas-confira-os-numeros-das-cinco-ultimas-pesquisas-eleitorais-no-rn-para-governo-e-presidencia/,RIO GRANDE DO NORTE,1,pr,1,NA,NA,FERNANDO HADDAD,61,JAIR BOLSONARO,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,manual/21-(leva-geral2_leva6)-maricelia3(inc)-pedro17(comp)-entrega.xlsx.csv,NA,NA,NA,NA,NA,1,2018,FALSE,NA,TRUE,NA,NA
BR-09834/2018,RN-01834/2018,https://tonymacedo.blogspot.com/2018/10/,RIO GRANDE DO NORTE,1,pr,1,NA,NA,FERNANDO HADDAD,53,JAIS BOLSONARO,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,manual/21-(leva-geral2_leva6)-maricelia3(inc)-pedro17(comp)-entrega.xlsx.csv,NA,NA,NA,NA,NA,0.93,2018,FALSE,NA,TRUE,NA,NA
RJ-03640/2018,BR-00027/2018,https://noticias.r7.com/eleicoes-2018/rj-witzel-tem-58-dos-votos-validos-e-paes-42-diz-realtime-big-data-23102018,BRASIL,1,g,NA,NA,NA,WITZEL,49,EDUARDO PAES,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,manual/24-(leva-geral2_leva1)-pedro8-entrega.xlsx.csv,NA,NA,NA,NA,NA,85,2018,FALSE,NA,TRUE,NA,NA
RJ-03255/2018,BR-01009/2018,https://adilsonribeiro.net/2018/10/27/eleicoes-2018-unig-lugar-de-gente-inteligente-informa-diferenca-entre-witzel-e-paes-diminui-clique-na-imagem-e-saiba-mais/,BRASIL,1,g,NA,NA,NA,WITZEL,47,PAES,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,manual/24-(leva-geral2_leva1)-pedro8-entrega.xlsx.csv,NA,NA,NA,NA,NA,87,2018,FALSE,NA,TRUE,NA,NA
GO-00182/2014,BR-01024/2014,https://eleicoes2014.opopular.com.br/marconi-tem-45-1-e-iris-23-na-%C3%BAltima-pesquisa-serpes-1.676550,BRASIL,1,s,NA,NA,NA,RONALDO CAIADO,40.9,VILMAR ROCHA,19.1,MARINA SANT'ANNA,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,manual/24-(leva-geral2_leva1)-pedro8-entrega.xlsx.csv,NA,NA,NA,NA,NA,71.2,2014,FALSE,NA,TRUE,NA,NA
PA-06317/2018,BR-01055/2018,https://tailandianews.com.br/helder-esta-20-pontos-a-frente-de-marcio-miranda-no-2-turno/,BRASIL,1,g,1,NA,NA,HELDER BARBALHO,53,MARCIO MIRANDA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,manual/24-(leva-geral2_leva1)-pedro8-entrega.xlsx.csv,NA,NA,NA,NA,NA,88,2018,FALSE,NA,TRUE,NA,NA
PA-02689/2018,BR-01099/2018,https://bacana.news/tv-record-divulgou-hoje-nova-pesquisa-para-o-governo-do-para/,BRASIL,1,g,1,NA,NA,HELDER BARBALHO,53,MARCIO MIRANDA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,manual/24-(leva-geral2_leva1)-pedro8-entrega.xlsx.csv,NA,NA,NA,NA,NA,89,2018,FALSE,NA,TRUE,NA,NA
RO-05703/2018,BR-03469/2018,https://www.xodonews.com.br/confira-as-pesquisas-realtime-big-data-para-11-estados-e-df-instituto-levantou-intencoes-de-votos-em-amapa-ms-mg-para-rj-rio-grande-do-norte-rs-rondonia-roraima-sp-sergipe-e-para-o-distrito/,BRASIL,1,g,NA,NA,1,CORONEL MARCOS ROCHA,61,EXPEDITO JUNIOR,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,manual/24-(leva-geral2_leva1)-pedro8-entrega.xlsx.csv,NA,NA,NA,NA,NA,100,2018,FALSE,NA,TRUE,NA,NA
