"tse_id","url","util","position","estimulada","suspensa","vv","cand1","resul1","cand2","resul2","cand3","resul3","cand4","resul4","cand5","resul5","cand6","resul6","cand7","resul7","cand8","resul8","cand9","resul9","cand10","resul10","cand11","resul11","cand12","resul12","cand13","resul13","cand14","resul14","cand15","resul15","cand16","resul16","cand17","resul17","cand18","resul18","cand19","resul19","cand20","resul20","cand21","resul21","cand22","resul22","cand23","resul23","cand24","resul24","cand25","resul25","cand26","resul26","cand27","resul27","cand28","resul28","cand29","resul29","cand30","resul30","cand31","resul31","cand32","resul32","cand33","resul33","cand34","resul34","cand35","resul35","cand36","resul36","cand37","resul37","cand38","resul38","cand39","resul40","cand41","resul41","cand42","resul42","cand43","resul43","person","instituto","scenario","for_patch_3"
"RN-00022/2012","https://lenilsonoliveira.blogspot.com/","TRUE","p","1","NA","NA","CARLOS EDUARDO","58","HERMANO MORAIS","7.5","ROGERIO MARINHO","7.4","FERNANDO MINEIRO","3.1","MICARLA DE SOUSA","1.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MARI","","4442","FALSE"
"MA-04562/2016","https://www.aldeiaglobal.net.br/2016/09/aprovacao-de-flavio-dino-alcanca-74.html","FALSE","g","1","NA","NA","FLAVIO DINO","74","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MARI","","1977","FALSE"
"GO-00811/2016","https://www.opopular.com.br/polopoly_fs/1.1149223.1473994590!/menu/standard/file/Inten%C3%A7%C3%A3o%20de%20voto%20para%20prefeito%20de%20Senador%20Canedo.pdf","TRUE","p","0","NA","NA","DIVINO LEMES","28.4","MISAEL OLIVEIRA","13","ZELIO CANDIDO","9","FRANCO MARTINS","3.5","DR. ALSUERES","2.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PEDRO","","1433","FALSE"
"GO-00811/2016","https://www.opopular.com.br/polopoly_fs/1.1149223.1473994590!/menu/standard/file/Inten%C3%A7%C3%A3o%20de%20voto%20para%20prefeito%20de%20Senador%20Canedo.pdf","TRUE","p","1","NA","NA","DIVINO LEMES","33.2","MISAEL OLIVEIRA","15.5","ZELIO CANDIDO","13","DR. ALSUERES","6","FRANCO MARTINS","6","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PEDRO","","1435","FALSE"
"MA-00141/2012","https://jornalpequeno.blog.br/johncutrim/pesquisa-indica-vitoria-de-ze-arlindo-em-pinheiro/","FALSE","g","NA","NA","NA","FLAVIO DINO","58","EDSON LOBAO","23","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PEDRO","","1779","FALSE"
"MA-09453/2016","http://www.reginaldocazumba.com.br/2016/08/pesquisa-aponta-vantagem-de-thiago.html","TRUE","p","0","NA","NA","TIAGO MENDONCA","54.24","BIGU","38.74","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PEDRO","","2135","FALSE"
"PB-00015/2012","https://folhavipdecajazeiras.blogspot.com/2012/06/","TRUE","p","1","NA","NA","CARLOS ANTONIO","47.8","CARLOS RAFAEL","31.6","JEOVA CAMPOS","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PEDRO","","3383","FALSE"
"PB-00015/2012","https://folhavipdecajazeiras.blogspot.com/2012/06/","TRUE","p","0","NA","NA","CARLOS ANTONIO","31","CARLOS RAFAEL","23.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PEDRO","","3382","FALSE"
"PB-00015/2012","https://www.coisasdecajazeiras.com.br/carlos-antonio-lidera-pesquisa-com-478/","TRUE","g","1","NA","NA","DRA. DENISE","40","CARLOS RAFAEL","33.6","JEOVA CAMPOS","52","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PEDRO","","3383","FALSE"
"PI-00102/2012","https://blogaraioses.blogspot.com/2012/07/data-az-mao-santa-segue-liderando.html","TRUE","p","0","NA","NA","MAO SANTA","25","FLORENTINO NETO","10.33","JOAOZINHO UNIMAGEM","9.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RAQUEL","","3735","FALSE"
