"tse_id","url","NM_UE","util","position","estimulada","suspensa","vv","cand1","resul1","cand2","resul2","cand3","resul3","cand4","resul4","cand5","resul5","cand6","resul6","cand7","resul7","cand8","resul8","cand9","resul9","cand10","resul10","cand11","resul11","cand12","resul12","cand13","resul13","cand14","resul14","cand15","resul15","cand16","resul16","cand17","resul17","cand18","resul18","cand19","resul19","cand20","resul20","cand21","resul21","cand22","resul22","cand23","resul23","cand24","resul24","cand25","resul25","cand26","resul26","cand27","resul27","cand28","resul28","cand29","resul29","cand30","resul30","cand31","resul31","cand32","resul32","cand33","resul33","cand34","resul34","cand35","resul35","cand36","resul36","cand37","resul37","cand38","resul38","cand39","resul39","cand40","resul40","cand41","resul41","cand42","resul42","cand43","resul43","manual_filename","SG_UE","obs","new_id","sg_uf.x","instituto","total","year","for_patch_2"
"MG-00034/2014","http://www.jornaldelavras.com.br/index.php?p=10&tc=4&c=8657","NA","0","v","1","NA","NA","MARCOS POSSATO","15.3","JOAO PAULO FELIZARDO","11.3","ANDERSON GARCOM","8","DR SEBASTIAO","6.3","CHAPISCO","5.5","DANIEL COSTA","4","EDMAR PALOL","2.8","ALISSON DENTISTA","2.5","LEANDRO MORETTI","2.5","CARLAO","1.8","CLEBER PEVIDOR","1.8","TILILI","1.8","ZE BENTO","1.8","SO ZE","1.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","manual/10-(leva-geral_5-1(853))-fabricio1(inc)-pedro14(comp)-entrega.xlsx.csv","MG","NA","NA","NA","NA","0.667","2014","TRUE"
"MA-04562/2016","https://www.aldeiaglobal.net.br/2016/09/aprovacao-de-flavio-dino-alcanca-74.html","NA","0","g","1","NA","NA","FLAVIO DINO","74","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","manual/15-(leva-geral_3-4(2200))-maricelia1-entrega.xlsx.csv","8036","NA","NA","NA","NA","0.74","2016","TRUE"
"RO-00030/2014","http://www.folharondoniense.com.br/geral/pesquisa-aponta-scheilla-cassol-entre-os-10-primeiros-para-a-camara/","NA","1","df","1","NA","NA","MARINHA RAUPP","26.3","NILTON CAPIXABA","11.1","SHEILLA CASSOL","5.8","ANSELMO JESUS","5.5","LUIZ CLAUDIO","5","FATIMA CLEIDE","4.7","EXPEDITO NETO","4.2","AGNALDO NUNIZ","3.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","manual/17-(leva-geral_2-2(965))-maricelia4-entrega.xlsx.csv","RO","NA","NA","NA","NA","0.662","2014","TRUE"
"BR-01440/2018","https://diariodegoias.com.br/pesquisa-serpes-caiado-41-9-eliton-10-6-e-daniel-10-1/","BRASIL","0","p","1","NA","NA","PAULO GARCIA","40.6","JOVAIR ARANTES","10.4","ISAURA LEMOS","8","ELIAS JUNIOR","6.3","PROFESSOR PANTALEAO","1","SIMEYZON SILVEIRA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","manual/24-(leva-geral2_leva1)-pedro8-entrega.xlsx.csv","NA","NA","NA","NA","NA","67.3","2018","TRUE"
"RS-00503/2012","https://pelotasdeportasabertas.blogspot.com/2012/10/eleicoes-pelotas-pesquisa-acirra-disputa.html","PELOTAS","0","p","1","NA","NA","EDUARDO LEITE","42","FERNANDO MARRONI","38","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","manual/38-(leva-geral1(1700-1))-maricelia5-entrega.xlsx.csv","NA","NA","NA","NA","NA","0.8","2012","TRUE"
"RS-00503/2012","https://pelotasdeportasabertas.blogspot.com/2012/10/eleicoes-pelotas-pesquisa-acirra-disputa.html","PELOTAS","0","p","1","NA","1","EDUARDO LEITE","52.5","FERNANDO MARRONI","47.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","manual/38-(leva-geral1(1700-1))-maricelia5-entrega.xlsx.csv","NA","NA","NA","NA","NA","1","2012","TRUE"
"RS-00503/2012","https://pelotasdeportasabertas.blogspot.com/2012/10/eleicoes-pelotas-pesquisa-acirra-disputa.html","PELOTAS","1","p","1","NA","NA","EDUARDO LEITE","52.2","FERNANDO MARRONI","36.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","manual/38-(leva-geral1(1700-1))-maricelia5-entrega.xlsx.csv","NA","NA","NA","NA","NA","0.89","2012","TRUE"
"PI-07146/2018","https://180graus.com/pesquisa-eleitoral/datamax-campo-maior-deputado-federal-devan-38-paulo-18-abreu-11-e-rejane-7","NA","0","p","1","NA","NA","PAULO MARTINS","35","RIBINHA","20","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","manual/9-(leva-geral_2-1(965))-pedro20-splited_fixed-entrega.xlsx.csv","PIAUÍ","NA","NA","NA","NA","55","2018","TRUE"
"PI-07146/2018","https://180graus.com/pesquisa-eleitoral/datamax-campo-maior-deputado-federal-devan-38-paulo-18-abreu-11-e-rejane-7","NA","0","p","1","NA","NA","DEVAN EUGENIO","44.38","JOAOZINHO FELIX","39.38","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","manual/9-(leva-geral_2-1(965))-pedro20-splited_fixed-entrega.xlsx.csv","PIAUÍ","NA","NA","NA","NA","83.76","2018","TRUE"
"PI-07146/2018","https://180graus.com/pesquisa-eleitoral/datamax-campo-maior-deputado-federal-devan-38-paulo-18-abreu-11-e-rejane-7","NA","0","p","1","NA","NA","JOAOZINHO FELIX","45.31","PAULO MARTINS","30","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","manual/9-(leva-geral_2-1(965))-pedro20-splited_fixed-entrega.xlsx.csv","PIAUÍ","NA","NA","NA","NA","75.31","2018","TRUE"
