OBS,tse_id,url,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul40,cand41,resul41,cand42,resul42,cand43,resul43,person,instituto,scenario,total,for_correction_1,correction_1_pending,ID,year
,AM-09276/2016,https://bncamazonas.com.br/para-boca-de-urna-de-tiradentes-arthur-e-marcelo-estao-empatados/,TRUE,p,NA,NA,NA,MARCELO,"32,1",ARTHUR,32,JOSE RICARDO,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BOB,NA,163,363.4,FALSE,NA,43,2016
,AM-09846/2016,https://amazonianarede.com.br/em-tres-pesquisas-divulgadas-arthur-lidera-duas-e-marcelo-uma/,TRUE,p,NA,NA,NA,MARCELO,"43,5",ARTHUR,36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BOB,NA,166,471.5,FALSE,NA,44,2016
,AM-09903/2016,https://amazonianarede.com.br/arthur-lidera-na-pesquisa-dmprede-tiradentes/,TRUE,p,1,NA,NA,ARTHUR,"33,1",MARCELO,20.8,HISSA ABRAHAO,8.6,HENRIQUE OLIVEIRA,7,SILAS CAMARA,6.1,SERAFIM CORREA,5.5,JOSE RICARDO,2.9,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BOB,NA,167,383,FALSE,NA,45,2016
,BA-00067/2016,https://www.jornaldosudoeste.com/pesquisa-aponta-vitoria-de-beto-maradona-para-prefeitura-de-cacule/,TRUE,p,0,NA,NA,BETO MARADONA,"50,49",PEDRAO,37.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BOB,NA,195,5086.44,FALSE,NA,46,2016
,BA-00067/2016,https://www.jornaldosudoeste.com/pesquisa-aponta-vitoria-de-beto-maradona-para-prefeitura-de-cacule/,TRUE,p,1,NA,NA,BETO MARADONA,"50,99",PEDRAO,38.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BOB,NA,196,5137.18,FALSE,NA,47,2016
,BA-00117/2016,https://www.jornaldosudoeste.com/pesquisa-confirma-lideranca-de-alan-vieira-na-corrida-pela-prefeitura-de-riacho-de-santana/,TRUE,p,0,NA,NA,ALAN ANTONIO VIEIRA,"49,29",PAULO SERGIO GONDIM CASTRO,39.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BOB,NA,205,4968.31,FALSE,NA,48,2016
,BA-00117/2016,https://www.jornaldosudoeste.com/pesquisa-confirma-lideranca-de-alan-vieira-na-corrida-pela-prefeitura-de-riacho-de-santana/,TRUE,p,1,NA,NA,ALAN ANTONIO VIEIRA,"48,97",PAULO SERGIO GONDIM CASTRO,39.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BOB,NA,206,4936.81,FALSE,NA,49,2016
,BA-00284/2016,https://www.jornaldosudoeste.com/emerson-lidera-na-reta-final-da-campanha-para-prefeitura-de-livramento/,TRUE,p,1,NA,NA,EMERSON LEAL,"50,86",RICARDINHO,40.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BOB,NA,221,5126.92,FALSE,NA,50,2016
,BA-00284/2016,https://www.jornaldosudoeste.com/emerson-lidera-na-reta-final-da-campanha-para-prefeitura-de-livramento/,TRUE,p,0,NA,NA,EMERSON LEAL,"48,79",RICARDINHO,39.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BOB,NA,220,4918.82,FALSE,NA,51,2016
,BA-01796/2016,https://joilsoncosta.blogspot.com/2016/09/monte-santo-guerra-de-pesquisa-eleitoral.html,TRUE,p,NA,NA,NA,EVERALDO JOEL,"47,2",JORGE ANDRADE,32.5,SILVANIA MATOS,12.3,ARISON ANDRADE,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BOB,NA,242,518.8,FALSE,NA,52,2016
