"url","tse_id","util","position","estimulada","cand1","resul1","cand2","resul2","cand3","resul3","cand4","resul4","cand5","resul5","cand6","resul6","cand7","resul7","cand8","resul8","cand9","resul9","cand10","resul10","cand11","resul11","cand12","resul12","cand13","resul13","person","suspensa","vv","cand14","resul14","cand15","resul15","cand16","resul16","cand17","resul17","cand18","resul18","cand19","resul19","cand20","resul20","cand21","resul21","cand22","resul22","cand23","resul23","cand24","resul24","cand25","resul25","cand26","resul26","cand27","resul27","cand28","resul28","cand29","resul29","cand30","resul30","SG_UE","cand31","resul31","cand32","resul32","cand33","resul33","cand34","resul34","cand35","resul35","cand36","resul36","cand37","resul37","cand38","resul38","cand39","resul40","cand41","resul41","cand42","resul42","cand43","resul43","instituto","scenario","total","NM_UE","for_patch_1","for_patch_4","ID","year","for_patch_2","for_patch_3","OBS"
"https://altairtavares.com.br/https-altairtavares-com-br-tv-divulga-pesquisa-para-governador-e-senador-em-goias-nesta-sexta-copy-2/","GO-05163/2018",TRUE,"s",1,"MARCONI PERILLO",23,"LUCIA VANIA",22,"JORGE KAJURU",19,"DEMOSTENES TORRES",11,"VANDERLAN CARDOSO",7,"VILMAR ROCHA",5,"WILDER MORAIS",5,"PEDRO CHAVES",4,"LUIS CESAR BUENO",2,"AGENOR MARIANO",1,"FABRICIO ROSA",1,NA,NA,NA,NA,"BOB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1465,100,"GOIÁS",FALSE,NA,195,2018,FALSE,FALSE,NA
"https://paulgettynascimento.blogspot.com/2012/09/paulo-ramos-dr-tancledo-lidera-as.html","MA-00276/2012",TRUE,"p",1,"DR TANCLEDO",59.5,"DEUSIMAR SERRA",32.3,"AFRANIO LEO",7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1737,98.9,"PAULO RAMOS",FALSE,NA,287,2012,FALSE,FALSE,NA
"http://garrone.com.br/datailha-debate-consolida-vitoria-de-flavio-dino-no-primeiro-turno/","MA-00817/2018",TRUE,"g",NA,"FLAVIO DINO",61.26,"ROSEANA SARNEY",30.45,"MAURA JORGE",5.86,"ROBERTO ROCHA",1.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1787,99.39,"MARANHÃO",FALSE,NA,311,2018,FALSE,FALSE,NA
"https://jornalpequeno.blog.br/johncutrim/flavio-dino-eliziane-e-weverton-lideram-em-nova-pesquisa/","MA-04166/2018",TRUE,"g",1,"FLAVIO DINO",64.6,"ROSEANA SARNEY",29.9,"MAURA JORGE",2.5,"ROBERTO ROCHA",2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1885,99.4,"MARANHÃO",FALSE,NA,347,2018,FALSE,FALSE,NA
"https://issuu.com/douglascouto/docs/_asemana_439_baixa/5","MG-00210/2012",TRUE,"p",NA,"CELSO COTA",79.6,"SONIA AZZI",9.7,"ROBERTO RODRIGUES",5.2,"CHICO FARMACIA",3.2,"NEUZA ZUZU",1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2164,99.2,"MARIANA",FALSE,NA,463,2012,FALSE,FALSE,NA
"https://www.otempo.com.br/politica/matarazo-lidera-em-itatiaiucu-1.245991","MG-00685/2012",TRUE,"p",1,"MATARAZO JOSE SILVA",56.34,"WENDER JUVENTINO",29.11,"MATHEUS PEDROSA",14.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2212,100,"ITATIAIUÇU",FALSE,NA,496,2012,FALSE,FALSE,NA
"https://www.todapolitica.com/eleicoes-2018/pesquisa-eleitoral-minas-gerais/","MG-03454/2018",TRUE,"s",NA,"DILMA",27.8,"AECIO NEVES",20.9,"MAURO TRAMONTE",16.5,"JO MORAES",10,"CARLOS VIANA",9.9,"BRUNO SIQUEIRA",6.9,"JAIME MARTINS",4.8,"DINIS PINHEIRO",4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2281,101.5,"MINAS GERAIS",FALSE,NA,531,2018,FALSE,FALSE,NA
"https://oglobo.globo.com/brasil/em-salvador-ibope-mostra-pelegrino-com-43-dos-votos-validos-acm-neto-com-37-6310810","BA-00487/2012",TRUE,"p",NA,"PELEGRINO",43,"ACM NETO",37,"MARCIO KERTESZ",9,"MARCIO MARINHO",6,"DA LUZ",3,"HAMILTON ASSIS",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226,100,"SALVADOR",FALSE,NA,546,2012,FALSE,FALSE,NA
"https://www.todapolitica.com/eleicoes-2018/pesquisa-eleitoral-presidente/","BR-07052/2018",TRUE,"pr",NA,"JAIR BOLSONARO",45,"FERNANDO HADDAD",28,"CIRO GOMES",14,"GERALDO ALCKMIN",4,"JOAO AMOEDO",3,"MARINA SILVA",2,"ALVARO DIAS",1,"CABO DACIOLO",1,"GUILHERME BOULOS",1,"HENRIQUE MEIRELLES",1,NA,NA,NA,NA,NA,NA,"BOB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,941,100,"BRASIL",FALSE,NA,553,2018,FALSE,FALSE,NA
"PDF","SE-06213/2018",TRUE,"s",1,"VALADARES",22,"JACKSON BARRETO",15,"ANDRE MOURA",13,"PASTOR HELENO",13,"ROGERIO CARVALHO SANTOS",12,"ALESSANDRO VIEIRA",9,"HENRI CLAY",4,"SONIA MEIRE",4,"REYNALDO NUNES",3,"BETINHO",2,"ADELSON ALVES",1,"JOSIMARIO MICK",1,NA,NA,"BOB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4984,99,NA,FALSE,NA,672,2018,FALSE,FALSE,NA
