tse_id,url,NM_UE,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43,manual_filename,SG_UE,obs,new_id,sg_uf.x,instituto,total,year,for_patch_2,person,for_patch_1,br_poll_id,state_poll_id,cannot_find_id,tse_id_new,scenario,new_tse_id,for_patch_3,OBS.1,for_patch_5
PA-00120/2012,https://midiasnaeducacaopara.blogspot.com/2012/09/intencao-de-votos-em-braganca-pesquisa.html,BRAGANÇA,1,p,1,NA,NA,PADRE NELSON,52,DR AMERICO,27.4,JOSE DIOGO,20.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,manual/1-(envio_1)-pedro4-entrega.xlsx.csv,NA,NA,NA,NA,NA,99.8,2012,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,TRUE
PA-00154/2012,https://portaldejuruti.blogspot.com/2012/09/eleicoes-2012_2393.html,JURUTI,1,p,1,NA,NA,MARQUINHO,48.9,LUCIDIA,34.1,OTAVIO BARBOSA,16.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,manual/1-(envio_1)-pedro4-entrega.xlsx.csv,NA,NA,NA,NA,NA,99.3,2012,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,TRUE
PA-00303/2012,https://anajuliacarepa13.blogspot.com/2012/10/pesquisa-aponta-vitoria-de-padre-nelson.html,BRAGANÇA,1,p,1,NA,NA,NELSON MAGALHAES,49.3,DR AMERICO,32,JOSE DIOGO,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,manual/14-(leva-geral_3-2(2200))-pedro19-fixed-entrega.xlsx.csv,NA,NA,NA,NA,NA,99.8,2012,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,TRUE
PR-00372/2012,https://www.fabiocampana.com.br/2012/10/londrina-belinati-ganha-no-1o-turno-diz-pesquisa-alvorada/,NA,1,p,1,NA,1,MARCELO BELINATI,52.4,MARCIA LOPES,16.7,ALEXANDRE KIREEFF,14.7,BARBOSA NETO,8.8,EDUARDO CHEIDA,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,manual/17-(leva-geral_2-2(965))-maricelia4-entrega.xlsx.csv,76678,NA,NA,NA,NA,99.4,2012,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,TRUE
PR-06939/2016,https://blogdoroque.com.br/2016/09/26/eleicoes-2016-pesquisa-confirma-larga-vantagem-de-hidek-em-sao-joao-do-ivai/,NA,1,p,1,NA,1,FABIO HIDEK MIURA,67.3,JUNINHO,32.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,manual/17-(leva-geral_2-2(965))-maricelia4-entrega.xlsx.csv,78751,NA,NA,NA,NA,100,2016,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,TRUE
RS-03795/2018,https://guaiba.com.br/2018/10/26/realtime-big-data-mostra-leite-com-56-e-sartori-com-44/,RIO GRANDE DO SUL,1,g,1,NA,NA,EDUARDO LEITE,51,SARTORI,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,manual/22-(leva-geral2_leva7)-fran1-salvaged-entrega.csv.csv,NA,NA,NA,RS,NA,100,2018,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,TRUE
SP-00064/2014,https://oglobo.globo.com/brasil/datafolha-mostra-vitoria-de-serra-na-disputa-pelo-senado-em-sp-14143333,SÃO PAULO,1,s,NA,NA,1,SERRA,50,SUPLICY,37,KASSAB,9,MACHADO,2,ANA LUIZA,1,LUCAS,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,manual/22-(leva-geral2_leva7)-fran1-salvaged-entrega.csv.csv,NA,NA,NA,SP,NA,100,2014,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,TRUE
SP-01183/2016,https://www.todapolitica.com/eleicoes-2016/pesquisa-eleitoral-sao-paulo/,SÃO PAULO,1,p,1,NA,1,DORIA,35,RUSSOMANO,23,HADDAD,15,LUIZA ERUNDINA,5,JOAO BICO,1,MAJOR OLIMPIO,1,LEVY FIDELIX,1,MARTA SUPLICY,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,manual/22-(leva-geral2_leva7)-fran1-salvaged-entrega.csv.csv,NA,NA,NA,SP,NA,100,2016,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,TRUE
PI-00196/2012,https://issuu.com/jornal-o-dia/docs/cago-20,FLORIANO,1,p,1,NA,NA,FLORIANO GILBERTO JUNIOR,57.5,ALMIR REIS,29.75,ENEAS BARROS,11.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,manual/25-(leva-geral2_leva5-2)-pedro18-entrega.xlsx.csv,NA,NA,NA,NA,NA,99,2012,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,TRUE
PI-06503/2018,https://180graus.com/pesquisa-eleitoral/brvox-uniao-dep-estadual-gustavo-medeiros-52-flora-10-henrique-rebello-10,PIAUÍ,1,s,1,NA,NA,DR PESSOA,24.06,WILSON MARTINS,19.06,FRANK AGUIAR,15.63,CIRO NOGUEIRA,8.75,REGINA SOUSA,8.75,ROBERT RIOS,7.5,JULIO CESAR,5.63,PAULO HENRIQUE,2.5,QUEM QUEM,2.5,ELIZEU AGUIAR,1.88,GUSTAVO HENRIQUE,1.88,ANTONIO J LIRA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,manual/25-(leva-geral2_leva5-2)-pedro18-entrega.xlsx.csv,NA,NA,NA,NA,NA,99.39,2018,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,TRUE
