"new_tse_id","CNPJ","url","tse_id","util","position","estimulada","cand1","resul1","cand2","resul2","cand3","resul3","cand4","resul4","cand5","resul5","cand6","resul6","cand7","resul7","cand8","resul8","cand9","resul9","cand10","resul10","cand11","resul11","cand12","resul12","cand13","resul13","person","suspensa","vv","cand14","resul14","cand15","resul15","cand16","resul16","cand17","resul17","cand18","resul18","cand19","resul19","cand20","resul20","cand21","resul21","cand22","resul22","cand23","resul23","cand24","resul24","cand25","resul25","cand26","resul26","cand27","resul27","cand28","resul28","cand29","resul29","cand30","resul30","SG_UE","cand31","resul31","cand32","resul32","cand33","resul33","cand34","resul34","cand35","resul35","cand36","resul36","cand37","resul37","cand38","resul38","cand39","resul40","cand41","resul41","cand42","resul42","cand43","resul43","instituto","scenario","total","NM_UE","for_patch_1","for_patch_4","year","for_patch_2","for_patch_3","OBS","ID","for_patch_5","for_patch_6","obs"
,"15602816000162","http://itnet.com.br/noticia/31047/candidato-de-situacao-lidera-pesquisa-para-prefeito-em-frei-paulo","SE-09141/2016","TRUE","p","0","GABRIEL OLIVEIRA","42","ANDERSON","31","ZE ARINALDO","7.5","MERCI","0.25","DRA MAIZA","0.25","JOAOZINHO","0.25","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","BOB","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4984","81.25","FREI PAULO","FALSE","NA","2016","FALSE","FALSE","NA","NA","FALSE","TRUE","NA"
,"2678167000131","https://www.opopular.com.br/polopoly_fs/1.1146361.1473476621!/menu/standard/file/Inten%C3%A7%C3%A3o%20de%20voto%20para%20prefeito%20de%20Catal%C3%A3o.pdf","GO-07474/2016","TRUE","p","1","ADIB ELIAS","51.6","JARDEL SEBBA","22.4","CAMILA CAMPOS","4.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","BOB","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1513","78.7","CATALAO","FALSE","NA","2016","FALSE","FALSE","NA","NA","FALSE","TRUE","NA"
,"2678167000131","https://www.opopular.com.br/polopoly_fs/1.1146361.1473476621!/menu/standard/file/Inten%C3%A7%C3%A3o%20de%20voto%20para%20prefeito%20de%20Catal%C3%A3o.pdf","GO-07474/2016","TRUE","p","0","ADIB ELIAS","49.1","JARDEL SEBBA","20.7","CAMILA CAMPOS","3.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","BOB","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1512","73.3","CATALAO","FALSE","NA","2016","FALSE","FALSE","NA","NA","FALSE","TRUE","NA"
,"10892795000143","https://dalvanamendes.com/noticias/miltinho-aragao-lidera-pesquisa-em-sao-mateus-diz-escutec-2/","MA-01741/2016","TRUE","p","0","MILTINHO","35.7","ROVELIO","32","IRIOMAR","2.7","ROGERIO GARCIA","2.3","GENILSON ALVES","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","BOB","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1804","73.7","SAO MATEUS DO MARANHAO","FALSE","NA","2016","FALSE","FALSE","NA","NA","FALSE","TRUE","NA"
,"10892795000143","https://dalvanamendes.com/noticias/miltinho-aragao-lidera-pesquisa-em-sao-mateus-diz-escutec-2/","MA-01741/2016","TRUE","p","1","MILTINHO","42","ROVELIO","39.7","GENILSON ALVES","4","IRIOMAR","3.7","ROGERIO GARCIA","2.3","FABIO COURO","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","BOB","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1805","92.7","SAO MATEUS DO MARANHAO","FALSE","NA","2016","FALSE","FALSE","NA","NA","FALSE","TRUE","NA"
,"9636807000190","https://www.45graus.com.br/caxias-ma/pesquisa-nao-divulgada-pela-oposicao-confirma-crescimento-de-leo-coutinho","MA-08559/2016","TRUE","p","1","LEO COUTINHO","44.82","FABIO GENTIL","33.25","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","BOB","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2020","78.07","CAXIAS","FALSE","NA","2016","FALSE","FALSE","NA","NA","FALSE","TRUE","NA"
,"10892795000143","https://luispablo.com.br/politica/2016/06/escutec-governo-pode-perder-eleicao-em-pinheiro-com-candidato-de-othelino/","MA-08857/2016","TRUE","p","1","FILUCA","34","LEONARDO","28.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","BOB","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2026","62.1","PINHEIRO","FALSE","NA","2016","FALSE","FALSE","NA","NA","FALSE","TRUE","NA"
,"11159115000140","https://portalcidadeluz.com.br/gleydson-resende-pcdob-lidera-disputa-pela-prefeitura-de-barao-de-grajau/","MA-09458/2016","TRUE","p","1","GLEYDSON RESENDE","58.4","CLAUDIME ARAUJO","39","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","BOB","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2051","97.4","BARAO DE GRAJAU","FALSE","NA","2016","FALSE","FALSE","NA","NA","FALSE","TRUE","NA"
,"22642565000105","https://www.otempo.com.br/hotsites/elei%C3%A7%C3%B5es-2016antigo/carlin-lidera-em-contagem-mostra-pesquisa-datatempo-1.1343292","MG-01985/2016","TRUE","p","1","CARLIN MOURA","27","ADEMIR LUCAS","22.4","JANDER FILARETTI","7.3","IRINEU INACIO","5","ALEX FREITAS","4.1","AGOSTINHO SILVEIRA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","BOB","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2243","67.8","CONTAGEM","FALSE","NA","2016","FALSE","FALSE","NA","NA","FALSE","TRUE","NA"
,"22642565000105","https://www.otempo.com.br/hotsites/elei%C3%A7%C3%B5es-2016antigo/carlin-lidera-em-contagem-mostra-pesquisa-datatempo-1.1343292","MG-01985/2016","TRUE","p","0","CARLIN MOURA","17.6","MARILIA CAMPOS","8.8","ADEMIR LUCAS","5.4","NEWTON CARDOSO","2.5","JANDER FILARETTI","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","BOB","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2242","35.3","CONTAGEM","FALSE","NA","2016","FALSE","FALSE","NA","NA","FALSE","TRUE","NA"
