"CNPJ","new_tse_id","tse_id","url","NM_UE","util","position","estimulada","suspensa","vv","cand1","resul1","cand2","resul2","cand3","resul3","cand4","resul4","cand5","resul5","cand6","resul6","cand7","resul7","cand8","resul8","cand9","resul9","cand10","resul10","cand11","resul11","cand12","resul12","cand13","resul13","cand14","resul14","cand15","resul15","cand16","resul16","cand17","resul17","cand18","resul18","cand19","resul19","cand20","resul20","cand21","resul21","cand22","resul22","cand23","resul23","cand24","resul24","cand25","resul25","cand26","resul26","cand27","resul27","cand28","resul28","cand29","resul29","cand30","resul30","cand31","resul31","cand32","resul32","cand33","resul33","cand34","resul34","cand35","resul35","cand36","resul36","cand37","resul37","cand38","resul38","cand39","resul39","cand40","resul40","cand41","resul41","cand42","resul42","cand43","resul43","manual_filename","SG_UE","obs","new_id","instituto","total"
"10783981000144","","BR-00927/2018","https://sigafabiojunior.blogspot.com/2018/08/antonio-martins-rn-sintoniza-radio_29.html","BRASIL","1","pr","1","NA","NA","LULA","47","JAIR BOLSONARO","17","CIRO GOMES","4","MARINA SILVA","3","GERALDO ALCKMIN","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","manual/14-(leva-geral_3-2(2200))-pedro19-fixed-entrega.xlsx.csv","NA","NA","NA","NA","72"
"10956929000142","PB-09878/2018","BR-09419/2018","http://www.palestinaonline.com/2018/08/confira-os-numeros-da-pesquisa-datavox.html","BRASIL","1","s","1","NA","NA","CASSIO CUNHA LIMA","27.2","VENEZIANO VITAL REGO","19.6","LUIZ COUTO","14.6","DANIELLA RIBEIRO","11.8","ROBERTO PAULINO","8.3","NIVALDO MANGUEIRA","1.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","manual/26-(leva-geral2_leva2)-pedro10-entrega.xlsx.csv","NA","NA","NA","NA","82.9"
"10956929000142","PB-09878/2018","BR-09419/2018","https://cariridagente.com/2018/08/datavox-espontanea-mostra-joao-em-1/","BRASIL","1","g","0","NA","NA","JOAO AZEVEDO","17.8","MARANHAO","10.2","LUCELIO","7.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","manual/26-(leva-geral2_leva2)-pedro10-entrega.xlsx.csv","NA","NA","NA","NA","35.3"
"10956929000142","PB-09878/2018","BR-09419/2018","https://politicadovaledosabugi.blogspot.com/2018/08/","BRASIL","1","g","1","NA","NA","JOAO AZEVEDO","26.5","MARANHAO","20.7","LUCELIO","15.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","manual/26-(leva-geral2_leva2)-pedro10-entrega.xlsx.csv","NA","NA","NA","NA","62.5"
"03622028000159","","ES-06703/2016","http://futuranet.ws/wp-content/uploads/2016/10/Eleitoral_2016_VilaVelha_Setembro.pdf","VILA VELHA","1","p","1","NA","NA","MAX FILHO","31","NEUCIMAR FRAGA","28.2","RODNEY MIRANDA","13.5","DOUTOR RAFAEL FAVATTO","4.8","VASCO ALVES","4.2","PROFESSORA LIU KATRINI","1.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","manual/37-(leva-geral1(1700-1))-pedro18-entrega.csv.csv","NA","NA","NA","NA","83"
"03622028000159","","ES-06703/2016","http://futuranet.ws/wp-content/uploads/2016/10/Eleitoral_2016_VilaVelha_Setembro.pdf","VILA VELHA","1","p","0","NA","NA","MAX FILHO","25.2","NEUCIMAR FRAGA","21.5","RODNEY MIRANDA","11.3","DOUTOR RAFAEL FAVATTO","4","VASCO ALVES","3.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","manual/37-(leva-geral1(1700-1))-pedro18-entrega.csv.csv","NA","NA","NA","NA","65.2"
"20252668000133","","GO-08917/2016","https://issuu.com/afolhadovale/docs/edicao-352","VILA PROPÍCIO","1","p","0","NA","NA","WALDINEI LEMOS","45.8","CIRLEI ARAUJO","28.7","CICERO CAMARA","6.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","manual/9-(leva-geral_2-1(965))-pedro20-splited_fixed-entrega.xlsx.csv","NA","NA","NA","NA","80.8"
"20252668000133","","GO-08917/2016","https://issuu.com/afolhadovale/docs/edicao-352","VILA PROPÍCIO","1","p","1","NA","NA","WALDINEI LEMOS","48.6","CIRLEI ARAUJO","33.2","CICERO CAMARA","7.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","manual/9-(leva-geral_2-1(965))-pedro20-splited_fixed-entrega.xlsx.csv","NA","NA","NA","NA","89"
"11400305000107","","MT-04839/2016","https://www.midianews.com.br/politica/mendes-lidera-corrida-eleitoral-em-cuiaba-com-41-das-intencoes/270104","CUIABÁ","1","p","0","NA","NA","MAURO MENDES","17,3","PROCURADOR MAURO","1.5","","","","","","","","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","manual/devonthinkoutput_formatado.csv.csv","NA","NA","NA","NA","177"
"11400305000107","","MT-04839/2016","https://www.midianews.com.br/politica/mendes-lidera-corrida-eleitoral-em-cuiaba-com-41-das-intencoes/270104","CUIABÁ","1","p","1","NA","NA","MAURO MENDES","40,5","PROCURADOR MAURO","14","EMANUEL PINHEIRO","3.8","SERYS MARLI","4","JULIER SEBASTIAO","1.8","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","manual/devonthinkoutput_formatado.csv.csv","NA","NA","NA","NA","428.9"
