url,tse_id,util,position,estimulada,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,person,suspensa,vv,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,SG_UE,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul40,cand41,resul41,cand42,resul42,cand43,resul43,instituto,scenario,total,NM_UE,for_patch_1,for_patch_4,year,for_patch_2,for_patch_3,OBS,ID,for_patch_5
https://www.jornaldosudoeste.com/pesquisa-confirma-lideranca-de-alan-vieira-na-corrida-pela-prefeitura-de-riacho-de-santana/,BA-00117/2016,TRUE,p,1,ALAN ANTONIO VIEIRA,"48,97",PAULO SERGIO GONDIM CASTRO,39.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BOB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206,4936.81,NA,NA,NA,2016,NA,NA,NA,1,FALSE
https://correiodooeste.com.br/riacho-de-santana-alan-vieira-lidera-corrida-pela-prefeitura-diz-pesquisa/,BA-03564/2016,TRUE,p,1,ALAN ANTONIO VIEIRA,"48,97",PAULO SERGIO GONDIM CASTRO,39.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BOB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,260,4936.81,NA,NA,NA,2016,NA,NA,NA,1,FALSE
https://www.jornaldosudoeste.com/pesquisa-confirma-lideranca-de-alan-vieira-na-corrida-pela-prefeitura-de-riacho-de-santana/,BA-00117/2016,TRUE,p,0,ALAN ANTONIO VIEIRA,"49,29",PAULO SERGIO GONDIM CASTRO,39.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BOB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205,4968.31,NA,NA,NA,2016,NA,NA,NA,1,FALSE
https://correiodooeste.com.br/riacho-de-santana-alan-vieira-lidera-corrida-pela-prefeitura-diz-pesquisa/,BA-03564/2016,TRUE,p,0,ALAN ANTONIO VIEIRA,"49,29",PAULO SERGIO GONDIM CASTRO,39.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BOB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259,4968.31,NA,NA,NA,2016,NA,NA,NA,1,FALSE
https://www.bahianoticias.com.br/noticia/160960-pesquisa-istoesensus-aponta-empate-tecnico-entre-marina-e-aecio-para-2-turno.html,BR-00756/2014,TRUE,pr,,DILMA ROUSSEFF,35.1,MARINA SILVA,25,AECIO NEVES,20.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MARI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,580,80.8,NA,FALSE,NA,2014,FALSE,FALSE,NA,1,FALSE
https://www.pragmatismopolitico.com.br/2014/10/dilma-lidera-e-marina-e-aecio-estao-empatados-diz-pesquisa-istoesensus.html,BR-00918/2014,TRUE,pr,1,DILMA ROUSSEFF,"37,3",MARINA SILVA,"22,5",AECIO NEVES,"20,6",PASTOR EVERALDO,"1,1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MARI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,631,80.8,NA,FALSE,NA,2014,FALSE,FALSE,NA,1,FALSE
https://www.huffpostbrasil.com/2014/10/20/apesar-de-empate-tecnico-dilma-rousseff-abre-sobre-aecio-neves_n_6018234.html,BR-01136/2014,TRUE,pr,NA,DILMA ROUSSEFF,46,AECIO NEVES,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DESCONHECIDO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,690,89,BRASIL,FALSE,NA,2014,FALSE,FALSE,NA,1,FALSE
https://portalcostanorte.com/vox-populi-dilma-tem-46-das-intencoes-de-voto-e-aecio-43/,BR-01140/2014,TRUE,pr,1,DILMA ROUSSEFF,46,AECIO NEVES,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEDRO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,691,89,BRASIL,FALSE,NA,2014,FALSE,FALSE,NA,1,FALSE
https://jornalpequeno.blog.br/johncutrim/edivaldo-lidera-em-pesquisa-tv-guarainstituto-exata/,MA-01714/2016,TRUE,p,1,EDIVALDO HOLANDA JUNIOR,46,EDUARDO BRAIDE,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MARI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1803,91,NA,FALSE,NA,2016,FALSE,FALSE,NA,1,FALSE
https://www.marrapa.com/tv-guara-joga-a-toalha-pesquisa-exata-decreta-vitoria-de-edivaldo-por-14-pontos-de-vantagem/,MA-04457/2016,TRUE,p,1,EDIVALDO HOLANDA JUNIOR,51,EDUARDO BRAIDE,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MARI,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1884,91,NA,FALSE,NA,2016,FALSE,FALSE,NA,1,FALSE
