new_tse_id;tse_id;url;NM_UE;util;position;estimulada;suspensa;vv;cand1;resul1;cand2;resul2;cand3;resul3;cand4;resul4;cand5;resul5;cand6;resul6;cand7;resul7;cand8;resul8;cand9;resul9;cand10;resul10;cand11;resul11;cand12;resul12;cand13;resul13;cand14;resul14;cand15;resul15;cand16;resul16;cand17;resul17;cand18;resul18;cand19;resul19;cand20;resul20;cand21;resul21;cand22;resul22;cand23;resul23;cand24;resul24;cand25;resul25;cand26;resul26;cand27;resul27;cand28;resul28;cand29;resul29;cand30;resul30;cand31;resul31;cand32;resul32;cand33;resul33;cand34;resul34;cand35;resul35;cand36;resul36;cand37;resul37;cand38;resul38;cand39;resul39;cand40;resul40;cand41;resul41;cand42;resul42;cand43;resul43;manual_filename;SG_UE;obs;instituto;total;CNPJ
;MA-03934/2016;http://www.noticiadafoto.com.br/2016/09/pesquisa-aponta-vitoria-de-beto-regis.html;SÃO JOÃO DO PARAÍSO;1;p;0;NA;NA;BETO REGIS;55.5;AMARO;35.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8320;NA;NA;90.8;06183431000117
;MA-03934/2016;http://www.noticiadafoto.com.br/2016/09/pesquisa-aponta-vitoria-de-beto-regis.html;SÃO JOÃO DO PARAÍSO;0;p;1;NA;NA;BETO REGIS;55.3;AMARO;36;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8320;NA;NA;91.3;06183431000117
;MA-03934/2016;https://blogdoandrearaujo.com.br/2016/09/12/conceicao-do-lago-acu-ze-coco-lidera-pesquisa/;SÃO JOÃO DO PARAÍSO;1;p;1;NA;NA;ZE COCO;44.99;ALEXANDRE LAVEPEL;27.39;MARCIA DANTAS;20.94;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8320;NA;NA;4547.33;06183431000117
;MA-03934/2016;http://www.noticiadafoto.com.br/2016/09/pesquisa-aponta-vitoria-de-beto-regis.html;SÃO JOÃO DO PARAÍSO;0;p;0;NA;NA;BETO REGIS;55.5;AMARO;35.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8320;NA;NA;590.3;06183431000117
;MA-03934/2016;http://www.noticiadafoto.com.br/2016/09/pesquisa-aponta-vitoria-de-beto-regis.html;SÃO JOÃO DO PARAÍSO;0;p;1;NA;NA;BETO REGIS;55.3;AMARO;36;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8320;NA;NA;589;06183431000117
;MA-08559/2016;https://www.45graus.com.br/caxias-ma/pesquisa-nao-divulgada-pela-oposicao-confirma-crescimento-de-leo-coutinho;CAXIAS;0;p;1;NA;NA;LEO COUTINHO;44.82;FABIO GENTIL;33.25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7579;NA;NA;78.07;09636807000190
;MA-08559/2016;http://www.irmaoinaldo.com.br/2016_09_27_archive.html;CAXIAS;1;p;1;NA;NA;LEO COUTINHO;44.32;FABIO GENTIL;33.25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7579;NA;NA;77.57;09636807000190
;MA-01741/2016;https://dalvanamendes.com/noticias/miltinho-aragao-lidera-pesquisa-em-sao-mateus-diz-escutec-2/;SÃO MATEUS DO MARANHÃO;1;p;1;NA;NA;MILTINHO;42;ROVELIO;39.7;GENILSON ALVES;4;IRIOMAR;3.7;ROGERIO GARCIA;2.3;FABIO COURO;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9237;NA;NA;92.7;10892795000143
;MA-01741/2016;https://dalvanamendes.com/noticias/miltinho-aragao-lidera-pesquisa-em-sao-mateus-diz-escutec-2/;SÃO MATEUS DO MARANHÃO;1;p;0;NA;NA;MILTINHO;35.7;ROVELIO;32;IRIOMAR;2.7;ROGERIO GARCIA;2.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9237;NA;NA;72.7;10892795000143
;PB-09878/2018;https://politicadovaledosabugi.blogspot.com/2018/08/;PARAÍBA;1;g;1;NA;NA;JOAO AZEVEDO;26.5;MARANHAO;20.7;LUCELIO;15.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PB;NA;NA;62.5;10892795000143
