tse_id;url;NM_UE;util;position;estimulada;suspensa;vv;cand1;resul1;cand2;resul2;cand3;resul3;cand4;resul4;cand5;resul5;cand6;resul6;cand7;resul7;cand8;resul8;cand9;resul9;cand10;resul10;cand11;resul11;cand12;resul12;cand13;resul13;cand14;resul14;cand15;resul15;cand16;resul16;cand17;resul17;cand18;resul18;cand19;resul19;cand20;resul20;cand21;resul21;cand22;resul22;cand23;resul23;cand24;resul24;cand25;resul25;cand26;resul26;cand27;resul27;cand28;resul28;cand29;resul29;cand30;resul30;cand31;resul31;cand32;resul32;cand33;resul33;cand34;resul34;cand35;resul35;cand36;resul36;cand37;resul37;cand38;resul38;cand39;resul39;cand40;resul40;cand41;resul41;cand42;resul42;cand43;resul43;manual_filename;SG_UE;obs;new_id;sg_uf.x;instituto;total;year;for_patch_2;person;for_patch_1;br_poll_id;state_poll_id;cannot_find_id;tse_id_new;scenario;for_patch_3;OBS;new_tse_id;for_patch_5;for_patch_4;ID;OBS.1;for_patch_7;CNPJ;for_patch_6;for_patch_9;for_patch_9_round_2
AC-02237/2018;http://www.oriobranco.net/noticia/politica/21-02-2018-a-oito-meses-da-eleicao-pesquisa-aponta-empate-tecnico-para-o-governo-e-disputa-acirrada-para-o-senado;NA;1;s;1;NA;NA;SERGIO PETECAO;22.8;JORGE VIANA;21.3;MARA ROCHA;20.1;NEY AMORIM;14.4;MINORU KIMAPARA;9.4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;manual/9-(leva-geral_2-1(965))-pedro20-splited_fixed-entrega.xlsx.csv;ACRE;NA;NA;NA;NA;88;2018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE
AC-02237/2018;http://www.oriobranco.net/noticia/politica/21-02-2018-a-oito-meses-da-eleicao-pesquisa-aponta-empate-tecnico-para-o-governo-e-disputa-acirrada-para-o-senado;NA;1;s;1;NA;NA;SERGIO PETECAO;23.7;JORGE VIANA;21.1;MARCIO BITTAR;20.2;NEY AMORIM;13;MINORU KIMAPARA;8.9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;manual/9-(leva-geral_2-1(965))-pedro20-splited_fixed-entrega.xlsx.csv;ACRE;NA;NA;NA;NA;869;2018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE
BR-00007/2014;NA;SÃO PAULO;1;pr;1;NA;NA;DILMA ROUSSEFF;23;AECIO NEVES;20;EDUARDO CAMPOS;6;PASTOR EVERALDO PEREIRA;4;MAGNO MALTA;3;JOSE MARIA;2;EDUARDO JORGE;1;DENISE ABREU;1;EYMAEL;1;LEVY FIDELIX;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;manual/29-(pdf1)-pedro5-entrega.xlsx.csv;NA;NA;NA;NA;DATAFOLHA;62;2014;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE
BR-00007/2014;NA;SÃO PAULO;1;pr;1;NA;NA;LULA;33;AECIO NEVES;20;EDUARDO CAMPOS;6;PASTOR EVERALDO PEREIRA;3;MAGNO MALTA;3;JOSE MARIA;1;EDUARDO JORGE;1;LEVY FIDELIX;1;MAURO IASI;1;EYMAEL;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;manual/29-(pdf1)-pedro5-entrega.xlsx.csv;NA;NA;NA;NA;DATAFOLHA;70;2014;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE
BR-00194/2014;NA;BRASIL;1;pr;1;NA;NA;DILMA ROUSSEFF;38;AECIO NEVES;20;EDUARDO CAMPOS;9;PASTOR EVERALDO PEREIRA;4;JOSE MARIA;2;LUCIANA GENRO;1;EDUARDO JORGE;1;MAURO IASI;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;manual/29-(pdf1)-pedro5-entrega.xlsx.csv;NA;NA;NA;NA;DATAFOLHA;76;2014;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE
BR-00194/2014;NA;BRASIL;1;pr;1;NA;NA;LULA;49;AECIO NEVES;17;EDUARDO CAMPOS;9;PASTOR EVERALDO PEREIRA;2;JOSE MARIA;1;DENISE ABREU;1;RANDOLFE RODRIGUES;1;EDUARDO JORGE;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;manual/29-(pdf1)-pedro5-entrega.xlsx.csv;NA;NA;NA;NA;DATAFOLHA;81;2014;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE
BR-00825/2018;http://ibopeinteligencia.com.br/noticias-e-pesquisas/joao-doria-vai-ao-segundo-turno-sem-adversario-definido-major-olimpio-e-eleito-porem-segunda-vaga-e-indefinida/;NA;1;pr;NA;NA;NA;LULA;26;JAIR BOLSONARO;21;GERALDO ALCKMIN;12;MARINA SILVA;6;CIRO GOMES;5;ALVARO DIAS;2;JOAO AMOEDO;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;manual/36-(SITE IBOPE)-bob4-entrega.csv.csv;NA;NA;NA;NA;NA;74;2018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE
BR-00825/2018;http://ibopeinteligencia.com.br/noticias-e-pesquisas/joao-doria-vai-ao-segundo-turno-sem-adversario-definido-major-olimpio-e-eleito-porem-segunda-vaga-e-indefinida/;NA;1;pr;NA;NA;NA;FERNANDO HADDAD;16;JAIR BOLSONARO;35;GERALDO ALCKMIN;12;CIRO GOMES;9;JOAO AMOEDO;4;MARINA SILVA;3;CABO DACIOLO;2;HENRIQUE MEIRELLES;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;manual/36-(SITE IBOPE)-bob4-entrega.csv.csv;NA;NA;NA;NA;NA;83;2018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE
BR-01505/2018;https://especiais.gazetadopovo.com.br/eleicoes/2018/pesquisas-eleitorais/ipespe/pesquisa-xp-investimentos-em-sao-paulo-3-presidenciaveis-empatam-na-lideranca/;BRASIL;1;pr;NA;NA;NA;JAIR BOLSONARO;20;GERALDO ALCKMIN;20;FERNANDO HADDAD;10;MARINA SILVA;10;CIRO GOMES;8;ALVARO DIAS;4;MANUELA D'AVILA;2;HENRIQUE MEIRELLES;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;manual/24-(leva-geral2_leva1)-pedro8-entrega.xlsx.csv;NA;NA;NA;NA;NA;75;2018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE
BR-01505/2018;https://especiais.gazetadopovo.com.br/eleicoes/2018/pesquisas-eleitorais/ipespe/pesquisa-xp-investimentos-em-sao-paulo-3-presidenciaveis-empatam-na-lideranca/;BRASIL;1;pr;NA;NA;NA;LULA;20;JAIR BOLSONARO;20;GERALDO ALCKMIN;19;MARINA SILVA;8;CIRO GOMES;7;ALVARO DIAS;3;JOAO AMOEDO;2;HENRIQUE MEIRELLES;2;MANUELA D'AVILA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;manual/24-(leva-geral2_leva1)-pedro8-entrega.xlsx.csv;NA;NA;NA;NA;NA;82;2018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE
