candidate,NOME_CANDIDATO,NOME_URNA_CANDIDATO,wrong
GERLEN DINIZ,GEHLEN DINIZ ANDRADE,GEHLEN DINIZ,
DRA KATIA,KATIA VALERIE SILVA MONTEIRO,DR KATIA,
FERNANDA CAVALCANTE,FERNANDA MARIA SILVA CAVALCANTI OLIVEIRA,FERNANDA CAVALCANTI,
TACIANA FERRO,THACIANNY ROCHA FERRO,TACIANE FERRO,
LIVIA BITENCOURT,LIVIA CARDOSO NASCIMENTO,LIVIA BITTENCOURT,
DINEI,VALDINE SANTOS,DINE,
DR MURILO,MURILLO FERREIRA VIANA,DR MURILLO,
BAIANO,JOSE UBALDINO ALVES PINTO,BAHIANO,
LUDMILA COSAC,LUDMILA QUEIROZ COZAC ROOS MACHADO,LUDMILA COZAC,
CORONEL BELLELI,CARLOS EDUARDO BELELI,CORONEL BELELI,
JACONIAS MORAIS,JECONIAS SILVA MORAES,JACONIAS MORAES,
JARDEL BOM JARDIM,JARDEL BOMJARDIM MARTINS,JARDEL BOMJARDIM,
MAURO JORGE,MAURA JORGE ALVES MELO RIBEIRO,MAURA JORGE,
HELEN MARAVILHA,HELLEN NUCE COSTA CERVEIRA,HELLEN MARAVILHA,
FERNANDO COUTINHO,FERDINANDO ARAUJO COUTINHO,FERDINANDO COUTINHO,
PEDRINHO MINAS ACONTECE,PEDRO ALENCAR AZEVEDO,PEDRINHO MINASACONTECE,
FELIPE CARIELO,FILIPE CARDOSO CARIELO,FILIPE CARIELO,
DR WELLINGTON,WELINGTON MOREIRA OLIVEIRA,DR WELINGTON,
AGUINALDO MIUDINHO,AGNALDO PEREIRA LIMA,AGNALDO MIUDINHO,
MARCELO MIGLIOLLI,EDNEI MARCELO MIGLIOLI,MARCELO MIGLIOLI,
JULIANO GOGOZ,JULIANO GOGOSZ OLIVEIRA,JULIANO GOGOSZ,
WILLIAN MAKSOUD,WILLIAM MAKSOUD NETO,WILLIAM MAKSOUD,
ELIAS ISHI,ELIAS ISHY MATTOS,ELIAS ISHY,
NELSON SODARIO,NELSON MAURO SODARIO OLIVEIRA,NELSON SUDARIO,
CHICAO VIANA,LUIS FRANCISCO ALMEIDA VIANNA,CHICAO VIANNA,
