NM_UE,candidate,NOME_CANDIDATO,NOME_URNA_CANDIDATO,bad,empty
CANAÃ DOS CARAJÁS,ITAMAR FRANCISCO,ITAMAR FRANCISCO SILVA,DR ITAMAR,,
BALSAS,CEL MARCELLO,MARCELLO SOARES SANTOS,CORONEL MARCELLO,,
CAXIAS,PAULO MARINHO JUNIOR,PAULO CELSO FONSECA MARINHO JUNIOR,PAULINHO,,
CAXIAS,HELTON MESQUITA,HELTON JOSE OLIVEIRA MESQUITA,DR HELTON,,
IMPERATRIZ,SEBASTIAO MADEIRA,SEBASTIAO TORRES MADEIRA,MADEIRA,,
OLHO D ÁGUA DAS CUNHÃS,RODRIGO,RODRIGO ARAUJO OLIVEIRA,RODRIGO OLIVEIRA,,
OLHO D ÁGUA DAS CUNHÃS,ALEX,ALEX DAMIANE NOGUEIRA MORAES,ALEX CHICAO,,
SÃO LUÍS,JOAO CASTELO,JOAO CASTELO RIBEIRO GONCALVES,CASTELO,,
SÃO LUÍS,WASHINGTON OLIVEIRA,JOAQUIM WASHINGTON LUIZ OLIVEIRA,WASHINGTON,,
CAMPINA GRANDE,SIZENANDO LEAL,SIZENANDO LEAL CRUZ,SIZEANDO LEAL,,
CAMPINA GRANDE,LUIZ ANTONIO,ANTONIO LUIZ CABRAL,LULA CABRAL,,
CAMPINA GRANDE,SOCORRO PEQUENO,MARIA SOCORRO SANTOS PEQUENO,SOCORRO PEQUENO (COCA),,
JOÃO PESSOA,JOAO COUTINHO,JOAO LUCIO COUTINHO SILVA,LUCIO CASTANHA,,
UBERABA,ANTONIO LERIN,ANTONIO REIS GONCALVES LERIN,LERIN,,
UBERLÂNDIA,LUIZ HUMBERTO,LUIZ HUMBERTO CARNEIRO,LUIZ HUMBERTO CARNEIRO,,
VITÓRIA,JENNER,JENNER RODRIGUES SILVA,JENNER DINHO,,
NITERÓI,FELIPE PEIXOTO,FELIPE SANTOS PEIXOTO,FELIPE,,
RIO DE JANEIRO,ANTONIO CARLOS,ANTONIO CARLOS SILVA,ANTONIO CARLOS PCO,,
JUNDIAÍ,LUIZ FERNANDO,LUIZ FERNANDO ARANTES MACHADO,LUIZ FERNANDO MACHADO,,
MARÍLIA,TICIANO TOFFOLI,JOSE TICIANO DIAS TOFFOLI,TOFFOLI,,
PAULÍNIA,SANZIO,SANZIO RODRIGUES SILVA,SANZIO RODRIGUES,,
PAULÍNIA,GUSTAVO,GUSTAVO YATECOLA BOMFIM,DR GUSTAVO YATECOLA,,
PAULÍNIA,SIMEIA,SIMEIA NUNES SILVA,SIMEIA ZANON,,
PAULÍNIA,GUSTAVO YATECOLA,GUSTAVO YATECOLA BOMFIM,DR GUSTAVO YATECOLA,,
PAULÍNIA,FLAVIA,FLAVIANO MARTINS ARAUJO,FLAVIANO ARAUJO,1,
PAULÍNIA,MARCELO BARRACA,MARCELO APARECIDO BARRACA,PASTOR MARCELO BARRACA,,
RIBEIRÃO PIRES,MARIA INES SOARES,MARIA INES ALMEIDA SOARES,MARIA INES,,
SÃO CAETANO DO SUL,EDGAR NOBREGA,EDGAR NOBREGA GOMES,PROF EDGAR NOBREGA,,
SÃO CAETANO DO SUL,REGINA MAURA ZETONE,REGINA MAURA ZETONE GRESPAN,REGINA MAURA,,
PALMAS,JOSE LAGO FOLHA,JOSE LAGO FOLHA FILHO,FOLHA,,
FLORIANÓPOLIS,ELSON M PEREIRA,ELSON MANOEL PEREIRA,ELSON PEREIRA,,
JOINVILLE,KENNEDY NUNES,CLARIKENNEDY NUNES,KENNEDY,,
JOINVILLE,MARCO TEBALDI,MARCO ANTONIO TEBALDI,TEBALDI,,
PORTO ALEGRE,ADAO VILLAVERDE,ADAO ROBERTO RODRIGUES VILLAVERDE,VILLA,,
PORTO ALEGRE,JOSE FORTUNATI,JOSE ALBERTO REUS FORTUNATI,FORTUNATI,,
VÁRZEA GRANDE,LUCIMAR CAMPOS,LUCIMAR SACRE CAMPOS,LUCIMAR,,
GOIÂNIA,JOSE NETO,JOSE NICOLAU OLIVEIRA NETO,JOSE NETHO,,
ALAGOAS,RENAN CALHEIROS,JOSE RENAN VASCONCELOS CALHEIROS FILHO,RENAN FILHO,,
ALAGOAS,FERNANDO COLLOR,FERNANDO AFFONSO COLLOR MELLO,COLLOR,,
AMAPÁ,RAQUEL CAPIBERIBE,RAQUEL CAPIBERIBE SILVA,RAQUEL CAPIBRIBE,,
BAHIA,RUI,RUI COSTA SANTOS,RUI COSTA,,
