cnpj,abep
06023655000161,1
10905523000130,1
04843093000177,1
03724595000116,1
22642565000105,1
07630546000175,1
10575983000148,1
04583866000123,1
07317438000147,1
62292602000117,1
60249448000175,1
28500023000184,1
02203834000120,1
00565157000164,1
03622028000159,1
13358105000169,1
32208779000121,1
16832830000115,1
01096445000180,1
68802370000186,1
10425289000144,1
09376087000170,1
12265777000167,1
04717077000138,1
10320257000184,1
39253182000148,1
09028982000102,1
00945330000150,1
09470150000133,1
03866435000101,1
06270812000133,1
04270642000161,1
07202498000114,1
83203646000101,1
19090489000168,1
10477437000174,1
19381669000107,1
13320517000100,1
02501289000158,1
40808743000107,1
22445600000104,1
00481961000165,1
86849395000117,1
02678167000131,1
VOX POPULI,1
GERP,1
FUTURA,1
DATAMETRICA,1
