conre,cnpj
7,"14.614.894/0001-14"
7,"33.375.311/0001-94"
7,"41.156.270/0001-73"
7,"17.929.047/0001-37"
7,"27.359.974/0001-12"
7,"33.346.323/0001-04"
7,"06.023.655/0001-61"
7,"03.079.221/0001-95"
7,"01.864.538/0001-07"
7,"15.625.058/0001-06"
6,"32.216.591/0001-25"
6,"10.327.675/0001-01"
6,"22.642.565/0001-05"
6,"38.374.271/0001-80"
6,"24.089.028/0001-05"
6,"03.622.028/0001-59"
6,"09.060.274/0001-40"
6,"09.376.087/0001-70"
6,"05.633.719/0001-83"
6,"81.908.345/0001-40"
6,"09.028.982/0001-02"
6,"42.196.550/0001-10"
6,"42.196.550/0014-92"
6,"33.428.961/0001-50"
6,"19.090.489/0001-68"
6,"11.822.413/0001-78"
6,"19.615.966/0001-61"
6,"02.866.959/0001-30"
6,"11.112.423/0001-10"
6,"03.950.991/0001-61"
6,"11.047.803/0001-18"
4,"24.475.557/0001-47"
4,"17.266.035/0001-70"
4,"88.332.580/0047-48"
4,"09.610.985/0001-41"
4,"19.557.018/0001-17"
4,"09.185.766/0001-62"
4,"20.018.384/0001-87"
4,"09.439.784/0001-23"
4,"31.044.220/0001-40"
4,"37.932.120/0001-37"
4,"93.807.485/0001-00"
4,"35.490.700/0001-96"
4,"07.318.001/0001-28"
4,"28.102.228/0001-01"
4,"06.195.852/0001-68"
4,"29.380.522/0001-48"
4,"29.438.634/0001-02"
4,"37.524.035/0001-30"
4,"19.074.650/0001-00"
4,"26.194.024/0001-12"
4,"19.729.593/0001-50"
4,"08.255.393/0001-96"
4,"20.450.146/0001-46"
4,"01.614.910/0001-27"
4,"36.602.206/0001-39"
4,"42.196.550/0006-82"
4,"10.735.713/0001-57"
4,"00.115.187/0001-79"
4,"35.374.772/0001-78"
4,"07.911.066/0001-82"
4,"84.782.101/0001-51"
4,"28.780.441/0001-72"
4,"09.328.809/0001-11"
4,"83.203.646/0001-01"
4,"00.853.528/0001-03"
4,"81.908.345/0001-40"
4,"23.793.036/0001-75"
4,"36.143.137/0001-42"
4,"09.256.171/0001-50"
4,"10.175.063/0001-32"
4,"19.812.752/0001-85"
4,"37.258.599/0001-78"
4,"36.895.820/0001-36"
4,"42.196.550/0011-40"
4,"42.196.550/0005-00"
4,"01.886.397/0001-23"
4,"01.186.438/0001-79"
4,"00.189.806/0001-70"
4,"01.768.747/0001-57"
4,"01.120.038/0001-60"
4,"05.389.817/0001-17"
4,"29.653.247/0001-99"
4,"30.593.823/0001-39"
4,"00.481.961/0001-65"
4,"04.914.964/0001-04"
4,"10.224.388/0001-68"
4,"26.068.753/0001-22"
4,"89.137.574/0001-10"
4,"92.973.734/0001-75"
4,"02.603.313/0001-60"
4,"94.437.969/0001-78"
4,"20.426.351-0001/76"
4,"34.133.477/0001-67"
4,"24.561.241/0001-78"
4,"72.113.046/0001-28"
4,"29.032.693/0001-86"
4,"17.988.811/0001-45"
4,"19.731.315/0001-37"
4,"09.249.695/0001-14"
4,"07.331.137/0001-78"
4,"12.329.007/0001-30"
4,"22.064.402/0001-92"
4,"03.566.875/0001-43"
4,"86.731.528/0001-56"
4,"22.659.393/0001-89"
4,"08.195.807/0001-39"
4,"37.603.286/0001-00"
4,"32.245.527/0001-72"
4,"36.066.848/0001-60"
4,"09.271.490/0001-35"
4,"07.263.602/0001-80"
4,"04.823.006/0001-10"
4,"28.748.693/0001-14"
4,"28.118.972/0001-02"
4,"27.844.225/0001-80"
4,"33.131.261/0001-08"
4,"16.572.314/0001-07"
4,"06.195.029/0001-52"
4,"38.659.468/0001-65"
4,"06.233.735/0001-41"
4,"11.371.501/0001-09"
4,"37.229.464/0001-84"
4,"02.771.214/0001-97"
4,"08.537.916/0001-97"
4,"06.083.776/0001-07"
4,"10.565.327/0001-64"
4,"36.938.497/0001-30"
4,"26.254.171/0001-30"
3,"04.339.846/0001-01"
3,"09.027.925/0001-09"
3,"09.388.850/0001-83"
3,"49.875.610/0001-28"
3,"04.209.958/0001-48"
3,"28.484.428/0001-76"
3,"12.078.030/0001-08"
3,"05.412.667/0001-15"
3,"23.340.485/0001-68"
3,"05.983.308/0001-18"
3,"07.630.546/0001-75"
3,"05.371.865/0001-88"
3,"60.964.996/0001-87"
3,"07.898.610/0001-01"
3,"62.292.602/0001-17"
3,"01.329.722/0001-57"
3,"02.195.435/0001-64"
3,"17.658.737/0001-07"
3,"07.188.687/0001-80"
3,"37.367.475/0001-20"
3,"60.555.513/0001-90"
3,"09.415.165/0001-07"
3,"26.742.291/0001-87"
