tse_id,estimulada,position,scenario,candidate,value
BR015842018,False,pr,0,Jair Bolsonaro (PSL),32.0
BR015842018,False,pr,0,Fernando Haddad (PT),17.0
BR015842018,False,pr,0,Ciro Gomes (PDT),9.0
BR015842018,False,pr,0,PT/ Candidato do PT/ 13,4.0
BR015842018,False,pr,0,Geraldo Alckmin (PSDB),4.0
BR015842018,False,pr,0,No 17,2.0
BR015842018,False,pr,0,Joao Amoedo (NOVO),2.0
BR015842018,False,pr,0,Candidato do Lula/ apoiado pelo Lula/ partido ,1.0
BR015842018,False,pr,0,Henrique Meirelles (MDB),1.0
BR015842018,False,pr,0,Cabo Daciolo (PATRI),1.0
BR015842018,False,pr,0,Lula,1.0
BR015842018,False,pr,0,Guilherme Boulos (PSOL),1.0
BR015842018,False,pr,0,Alvaro Dias (PODE),0.0
BR015842018,False,pr,0,Outras respostas,0.0
BR015842018,False,pr,0,Em branco/ nulo/ nenhum,2.0
BR015842018,False,pr,0,Nao sabe,5.0
BR015842018,False,pr,0,Recusa,18.0
BR015842018,False,pr,0,Total em %,0.0
BR015842018,False,pr,0,Base ponderada,100.0
BR015842018,False,pr,0,Total Nos. absolutos,19536.0
BR025812018,False,pr,1,Jair Bolsonaro (PSL),31.0
BR025812018,False,pr,1,Fernando Haddad (PT),17.0
BR025812018,False,pr,1,Ciro Gomes (PDT),7.0
BR025812018,False,pr,1,Geraldo Alckmin (PSDB),4.0
BR025812018,False,pr,1,PT/ Candidato do PT/ 13,3.0
BR025812018,False,pr,1,Joao Amoedo (NOVO),2.0
BR025812018,False,pr,1,No 17,1.0
BR025812018,False,pr,1,Candidato do Lula/ apoiado pelo Lula/ partido ,1.0
BR025812018,False,pr,1,Marina Silva (REDE),1.0
BR025812018,False,pr,1,Lula,1.0
BR025812018,False,pr,1,Alvaro Dias (PODE),1.0
BR025812018,False,pr,1,Cabo Daciolo (PATRI),1.0
BR025812018,False,pr,1,Em branco/ nulo/ nenhum,1.0
BR025812018,False,pr,1,Outras respostas,6.0
BR025812018,False,pr,1,Nao sabe,2.0
BR025812018,False,pr,1,Recusa,22.0
BR025812018,False,pr,1,Total em %,1.0
BR025812018,False,pr,1,Base ponderada,100.0
BR025812018,False,pr,1,Total Nos. absolutos,10930.0
BR055962018,False,pr,2,Jair Bolsonaro (PSL),22.0
BR055962018,False,pr,2,Fernando Haddad (PT),8.0
BR055962018,False,pr,2,Ciro Gomes (PDT),7.0
BR055962018,False,pr,2,Lula,5.0
