tse_id,estimulada,position,scenario,candidate,value
AC000042012,False,p,0,BASE,602
AC000042012,False,p,0,Antonia Lucia,2
AC000042012,False,p,0,Fernando Melo,3
AC000042012,False,p,0,Leoncio Castro,0
AC000042012,False,p,0,Marcus Alexandre,30
AC000042012,False,p,0,Professora Peregrina,1
AC000042012,False,p,0,Tiao Bocalom,26
AC000042012,False,p,0,Citou outro nome,0
AC000042012,False,p,0,Branco/ Nulo,6
AC000042012,False,p,0,Nao sabe/ Nao respondeu,30
AC000092012,False,p,1,BASE,602
AC000092012,False,p,1,Marcus Alexandre,50
AC000092012,False,p,1,Tiao Bocalom,47
AC000092012,False,p,1,Branco/ Nulo,1
AC000092012,False,p,1,Nao sabe/ Nao respondeu,3
AC000122012,False,p,2,BASE,602
AC000122012,False,p,2,Marcus Alexandre,51
AC000122012,False,p,2,Tiao Bocalom,44
AC000122012,False,p,2,Branco/ Nulo,2
AC000122012,False,p,2,Nao sabe/ Nao respondeu,3
AL000082012,False,p,3,BASE,602
AL000082012,False,p,3,Galba Novaes,2
AL000082012,False,p,3,Jeferson Morais,2
AL000082012,False,p,3,Ronaldo Lessa,15
AL000082012,False,p,3,Rosinha da Adefal,1
AL000082012,False,p,3,Rui Palmeira,17
AL000082012,False,p,3,Citou outro nome,1
AL000082012,False,p,3,Branco/ Nulo,12
AL000082012,False,p,3,Nao sabe/ Nao respondeu,50
AM000132012,False,p,4,BASE,602
AM000132012,False,p,4,Artur Neto,24
AM000132012,False,p,4,Henrique Oliveira,6
AM000132012,False,p,4,Herbert Amazonas,1
AM000132012,False,p,4,Luiz Navarro,1
AM000132012,False,p,4,Pauderney,2
AM000132012,False,p,4,Sabino Castelo Branco,7
AM000132012,False,p,4,Serafim,9
AM000132012,False,p,4,Vanessa Grazziotin,15
AM000132012,False,p,4,Citou outro nome,0
AM000132012,False,p,4,Branco/ Nulo,9
AM000132012,False,p,4,Nao sabe/ Nao respondeu,26
AM000232012,False,p,5,BASE,805
AM000232012,False,p,5,Artur Neto,28
AM000232012,False,p,5,Henrique Oliveira,10
AM000232012,False,p,5,Herbert Amazonas,1
AM000232012,False,p,5,Jeronimo Maranhao,0
AM000232012,False,p,5,Luiz Navarro,1
AM000232012,False,p,5,Pauderney,3
AM000232012,False,p,5,Sabino Castelo Branco,9
AM000232012,False,p,5,Serafim,8
AM000232012,False,p,5,Vanessa Grazziotin,26
AM000232012,False,p,5,Branco/ Nulo,5
AM000232012,False,p,5,Nao sabe/ Nao respondeu,9
AM000602012,False,p,6,BASE,805
AM000602012,False,p,6,Artur Neto,58
AM000602012,False,p,6,Vanessa Grazziotin,30
AM000602012,False,p,6,Branco/ Nulo,7
AM000602012,False,p,6,Nao sabe/ Nao respondeu,5
AM000632012,False,p,7,BASE,805
AM000632012,False,p,7,Artur Neto,58
AM000632012,False,p,7,Vanessa Grazziotin,30
AM000632012,False,p,7,Citou outro nome,0
AM000632012,False,p,7,Branco/ Nulo,5
AM000632012,False,p,7,Nao sabe/ Nao respondeu,7
AP000012012,False,p,8,BASE,602
AP000012012,False,p,8,Clecio,9
AP000012012,False,p,8,Cristina Almeida,9
AP000012012,False,p,8,Davi Alcolumbre,2
AP000012012,False,p,8,Genival Cruz,0
AP000012012,False,p,8,Milhomen,1
AP000012012,False,p,8,Professor Marco Antonio,0
AP000012012,False,p,8,Roberto,17
AP000012012,False,p,8,Citou outro nome,0
AP000012012,False,p,8,Branco/ Nulo,17
AP000012012,False,p,8,Nao sabe/ Nao respondeu,43
AP000042012,False,p,9,BASE,602
AP000042012,False,p,9,Clecio,20
AP000042012,False,p,9,Cristina Almeida,11
AP000042012,False,p,9,Davi Alcolumbre,10
AP000042012,False,p,9,Genival Cruz,2
AP000042012,False,p,9,Milhomen,2
AP000042012,False,p,9,Roberto,28
AP000042012,False,p,9,Citou outro nome,0
AP000042012,False,p,9,Branco/ Nulo,8
AP000042012,False,p,9,Nao sabe/ Nao respondeu,19
AP000142012,False,p,10,BASE,602
AP000142012,False,p,10,Clecio,38
AP000142012,False,p,10,Roberto,47
AP000142012,False,p,10,Branco/ Nulo,7
AP000142012,False,p,10,Nao sabe/ Nao respondeu,8
AP000152012,False,p,11,BASE,602
AP000152012,False,p,11,Clecio,42
AP000152012,False,p,11,Roberto,43
AP000152012,False,p,11,Branco/ Nulo,5
AP000152012,False,p,11,Nao sabe/ Nao respondeu,9
BA000472012,False,p,12,BASE,602
BA000472012,False,p,12,ACM Neto,23
BA000472012,False,p,12,Da Luz,0
BA000472012,False,p,12,Marcio Marinho,2
BA000472012,False,p,12,Hamilton Assis,0
BA000472012,False,p,12,Pelegrino,5
BA000472012,False,p,12,Mario Kertesz,5
BA000472012,False,p,12,Citou outro nome,2
BA000472012,False,p,12,Branco/ Nulo,25
BA000472012,False,p,12,Nao sabe/ Nao respondeu,37
BA000612012,False,p,13,BASE,504
BA000612012,False,p,13,Jhonatas,1
BA000612012,False,p,13,Jose Ronaldo,67
BA000612012,False,p,13,Tarcizio Pimenta,2
BA000612012,False,p,13,Ze Neto,5
BA000612012,False,p,13,Branco/ Nulo,8
BA000612012,False,p,13,Nao sabe/ Nao respondeu,16
BA000742012,False,p,14,BASE,301
BA000742012,False,p,14,Carmen,63
BA000742012,False,p,14,Dailton Filho,13
BA000742012,False,p,14,Citou outro candidato,1
BA000742012,False,p,14,Branco/ Nulo,11
BA000742012,False,p,14,Nao sabe/ Nao respondeu,11
BA000782012,False,p,15,BASE,602
BA000782012,False,p,15,ACM Neto,32
BA000782012,False,p,15,Da Luz,1
BA000782012,False,p,15,Marcio Marinho,3
BA000782012,False,p,15,Pelegrino,12
BA000782012,False,p,15,Mario Kertesz,6
BA000782012,False,p,15,Citou outro nome,0
BA000782012,False,p,15,Branco/ Nulo,21
BA000782012,False,p,15,Nao sabe/ Nao respondeu,26
BA000842012,False,p,16,BASE,406
BA000842012,False,p,16,Dr. Fernando,2
BA000842012,False,p,16,Euclides,11
BA000842012,False,p,16,Dra. Tania,59
BA000842012,False,p,16,Branco/ Nulo,6
BA000842012,False,p,16,Nao sabe/ Nao respondeu,21
BA001412012,False,p,17,BASE,406
BA001412012,False,p,17,Dr. Marcio,47
BA001412012,False,p,17,Jair PSOL,1
BA001412012,False,p,17,Joao Oliveira,26
BA001412012,False,p,17,Branco/ Nulo,8
BA001412012,False,p,17,Nao sabe/ Nao respondeu,18
BA001422012,False,p,18,BASE,602
BA001422012,False,p,18,ACM Neto,34
BA001422012,False,p,18,Da Luz,1
