tse_id,estimulada,position,scenario,candidate,value
AC044342016,False,p,0,Nao sabe/ Nao respondeu,31.0
AC044342016,False,p,0,Branco/ Nulo,8.0
AC044342016,False,p,0,Outros,0.0
AC044342016,False,p,0,Raimundo Vaz,1.0
AC044342016,False,p,0,Marcus Alexandre,44.0
AC044342016,False,p,0,Eliane Sinhasique,15.0
AC044342016,False,p,0,BASE,602.0
AC074782016,False,p,1,Nao sabe/ Nao respondeu,10.0
AC074782016,False,p,1,Branco/ Nulo,6.0
AC074782016,False,p,1,Vaz,6.0
AC074782016,False,p,1,Marcus Alexandre,52.0
AC074782016,False,p,1,Eliane Sinhasique,24.0
AC074782016,False,p,1,Carlos Gomes,1.0
AC074782016,False,p,1,BASE,602.0
AL000882016,False,p,2,Nao sabe/ Nao respondeu,39.0
AL000882016,False,p,2,Branco/ Nulo,25.0
AL000882016,False,p,2,Outros,1.0
AL000882016,False,p,2,Rui Palmeira,15.0
AL000882016,False,p,2,Joao Henrique Caldas/ JHC,4.0
AL000882016,False,p,2,Cicero Almeida,16.0
AL000882016,False,p,2,BASE,602.0
AL004922016,False,p,3,Nao sabe/ Nao respondeu,12.0
AL004922016,False,p,3,Branco/ Nulo,12.0
AL004922016,False,p,3,Outros,0.0
AL004922016,False,p,3,Rui Palmeira,37.0
AL004922016,False,p,3,Paulao,2.0
AL004922016,False,p,3,JHC,16.0
AL004922016,False,p,3,Gustavo Pessoa,1.0
AL004922016,False,p,3,Fernando do Village,0.0
AL004922016,False,p,3,Cicero Almeida,21.0
AL004922016,False,p,3,BASE,602.0
AL037762016,False,p,4,Nao sabe/ Nao respondeu,6.0
AL037762016,False,p,4,Branco/ Nulo,13.0
AL037762016,False,p,4,Rui Palmeira,50.0
AL037762016,False,p,4,Cicero Almeida,31.0
AL037762016,False,p,4,BASE,602.0
AL040542016,False,p,5,Nao sabe/ Nao respondeu,8.0
AL040542016,False,p,5,Branco/ Nulo,17.0
AL040542016,False,p,5,Rui Palmeira,51.0
AL040542016,False,p,5,Cicero Almeida,24.0
AL040542016,False,p,5,BASE,602.0
AL071322016,False,p,6,Nao sabe/ Nao respondeu,16.0
AL071322016,False,p,6,Branco/ Nulo,16.0
AL071322016,False,p,6,Outros,1.0
AL071322016,False,p,6,Rui Palmeira,31.0
AL071322016,False,p,6,Paulao,1.0
AL071322016,False,p,6,JHC,12.0
AL071322016,False,p,6,Cicero Almeida,22.0
AL071322016,False,p,6,BASE,602.0
AM007542016,False,p,7,Nao sabe/ Nao respondeu,37.0
AM007542016,False,p,7,Branco/ Nulo,14.0
AM007542016,False,p,7,Outros,3.0
AM007542016,False,p,7,Silas Camara,4.0
AM007542016,False,p,7,Serafim Correa,4.0
AM007542016,False,p,7,Marcelo Ramos,8.0
AM007542016,False,p,7,Jose Ricardo,3.0
AM007542016,False,p,7,Hissa Abrahao,3.0
AM007542016,False,p,7,Henrique Oliveira,3.0
AM007542016,False,p,7,Artur Neto,22.0
AM007542016,False,p,7,BASE,805.0
AM032622016,False,p,8,Nao sabe/ Nao respondeu,10.0
AM032622016,False,p,8,Branco/ Nulo,10.0
AM032622016,False,p,8,Outros,0.0
AM032622016,False,p,8,Marcelo Ramos,35.0
AM032622016,False,p,8,Artur Neto,44.0
AM032622016,False,p,8,BASE,805.0
AM042392016,False,p,9,Nao sabe/ Nao respondeu,5.0
AM042392016,False,p,9,Branco/ Nulo,12.0
AM042392016,False,p,9,Outros,0.0
AM042392016,False,p,9,Marcelo Ramos,34.0
AM042392016,False,p,9,Artur Neto,48.0
AM042392016,False,p,9,BASE,805.0
AM072392016,False,p,10,Nao sabe/ Nao respondeu,8.0
AM072392016,False,p,10,Branco/ Nulo,8.0
AM072392016,False,p,10,Outros,0.0
AM072392016,False,p,10,Silas Camara,6.0
AM072392016,False,p,10,Serafim Correa,7.0
AM072392016,False,p,10,Queiroz,1.0
AM072392016,False,p,10,Marcelo Ramos,18.0
AM072392016,False,p,10,Luiz Castro,1.0
AM072392016,False,p,10,Jose Ricardo,5.0
AM072392016,False,p,10,Hissa Abrahao,4.0
AM072392016,False,p,10,Henrique Oliveira,2.0
AM072392016,False,p,10,Artur Neto,39.0
AM072392016,False,p,10,BASE,805.0
AM078792016,False,p,11,Nao sabe/ Nao respondeu,17.0
AM078792016,False,p,11,Branco/ Nulo,8.0
AM078792016,False,p,11,Outros,1.0
AM078792016,False,p,11,Silas Camara,5.0
AM078792016,False,p,11,Serafim Correa,7.0
AM078792016,False,p,11,Marcelo Ramos,14.0
AM078792016,False,p,11,Jose Ricardo,3.0
AM078792016,False,p,11,Hissa Abrahao,4.0
AM078792016,False,p,11,Henrique Oliveira,2.0
AM078792016,False,p,11,Artur Neto,38.0
AM078792016,False,p,11,BASE,805.0
AP015142016,False,p,12,Nao sabe/ Nao respondeu,13.0
AP015142016,False,p,12,Branco/ Nulo,14.0
AP015142016,False,p,12,Outros,0.0
AP015142016,False,p,12,Ruy Smith,2.0
AP015142016,False,p,12,Promotor Moises,7.0
AP015142016,False,p,12,Gilvam Borges,16.0
AP015142016,False,p,12,Genival Cruz,2.0
AP015142016,False,p,12,Clecio,33.0
AP015142016,False,p,12,Aline,12.0
AP015142016,False,p,12,BASE,602.0
AP051822016,False,p,13,Nao sabe/ Nao respondeu,33.0
AP051822016,False,p,13,Branco/ Nulo,22.0
AP051822016,False,p,13,Outros,2.0
AP051822016,False,p,13,Ruy Smith,4.0
AP051822016,False,p,13,Promotor Moises,5.0
AP051822016,False,p,13,Gilvam Borges,3.0
AP051822016,False,p,13,Genival Cruz,1.0
AP051822016,False,p,13,Dora Nascimento,2.0
AP051822016,False,p,13,Clecio,21.0
AP051822016,False,p,13,Aline,6.0
AP051822016,False,p,13,BASE,602.0
AP053612016,False,p,14,Nao sabe/ Nao respondeu,14.0
AP053612016,False,p,14,Branco/ Nulo,15.0
AP053612016,False,p,14,Outros,1.0
AP053612016,False,p,14,Ruy Smith,8.0
AP053612016,False,p,14,Promotor Moises,5.0
AP053612016,False,p,14,Gilvam Borges,9.0
AP053612016,False,p,14,Genival Cruz,3.0
AP053612016,False,p,14,Dora Nascimento,6.0
AP053612016,False,p,14,Clecio,22.0
AP053612016,False,p,14,Aline,15.0
AP053612016,False,p,14,BASE,602.0
AP078462016,False,p,15,Nao sabe/ Nao respondeu,4.0
AP078462016,False,p,15,Branco/ Nulo,7.0
AP078462016,False,p,15,Outros,0.0
AP078462016,False,p,15,Gilvam Borges,33.0
AP078462016,False,p,15,Clecio,55.0
AP078462016,False,p,15,BASE,602.0
AP089552016,False,p,16,Nao sabe/ Nao respondeu,6.0
AP089552016,False,p,16,Branco/ Nulo,10.0
AP089552016,False,p,16,Gilvam Borges,37.0
AP089552016,False,p,16,Clecio,47.0
AP089552016,False,p,16,BASE,602.0
