"tse_id","estimulada","position","scenario","candidate","value"
"AC019522018",FALSE,"g",0,"Nao sabe/ Nao respondeu",24
"AC019522018",FALSE,"g",0,"Branco/ Nulo",5
"AC019522018",FALSE,"g",0,"Outros",2
"AC019522018",FALSE,"g",0,"Marcus Alexandre",28
"AC019522018",FALSE,"g",0,"Janaina Furtado",0
"AC019522018",FALSE,"g",0,"Gladson Cameli",38
"AC019522018",FALSE,"g",0,"Coronel Ulysses",3
"AC019522018",FALSE,"g",0,"BASE",812
"AC019522018",FALSE,"s",1,"Nao sabe/ Nao respondeu",47
"AC019522018",FALSE,"s",1,"Branco/ Nulo",11
"AC019522018",FALSE,"s",1,"Outros",3
"AC019522018",FALSE,"s",1,"Petecao",32
"AC019522018",FALSE,"s",1,"Pedrazza",0
"AC019522018",FALSE,"s",1,"Ney Amorim",16
"AC019522018",FALSE,"s",1,"Minoru Kinpara",7
"AC019522018",FALSE,"s",1,"Marcio Bittar",20
"AC019522018",FALSE,"s",1,"Jorge Viana",19
"AC019522018",FALSE,"s",1,"BASE",812
"AC084792018",FALSE,"g",2,"Nao sabe/ Nao respondeu",42
"AC084792018",FALSE,"g",2,"Branco/ Nulo",8
"AC084792018",FALSE,"g",2,"Outros",2
"AC084792018",FALSE,"g",2,"Marcus Alexandre",22
"AC084792018",FALSE,"g",2,"Janaina Furtado",0
"AC084792018",FALSE,"g",2,"Gladson Cameli",22
"AC084792018",FALSE,"g",2,"David Hall",0
"AC084792018",FALSE,"g",2,"Coronel Ulysses",3
"AC084792018",FALSE,"g",2,"BASE",812
"AC084792018",FALSE,"s",3,"Nao sabe/ Nao respondeu",68
"AC084792018",FALSE,"s",3,"Branco/ Nulo",12
"AC084792018",FALSE,"s",3,"Outros",2
"AC084792018",FALSE,"s",3,"Petecao",13
"AC084792018",FALSE,"s",3,"Pedraza",1
"AC084792018",FALSE,"s",3,"Ney Amorim",8
"AC084792018",FALSE,"s",3,"Minoru Kinpara",5
"AC084792018",FALSE,"s",3,"Marcio Bittar",7
"AC084792018",FALSE,"s",3,"Jorge Viana",16
"AC084792018",FALSE,"s",3,"BASE",812
"AC084922018",FALSE,"g",4,"Nao sabe/ Nao respondeu",21
"AC084922018",FALSE,"g",4,"Branco/ Nulo",4
"AC084922018",FALSE,"g",4,"Outros",1
"AC084922018",FALSE,"g",4,"Marcus Alexandre",24
"AC084922018",FALSE,"g",4,"Janaina Furtado",1
"AC084922018",FALSE,"g",4,"Gladson Cameli",43
"AC084922018",FALSE,"g",4,"David Hall",0
"AC084922018",FALSE,"g",4,"Coronel Ulysses",6
"AC084922018",FALSE,"g",4,"BASE",812
"AC084922018",FALSE,"s",5,"Nao sabe/ Nao respondeu",35
"AC084922018",FALSE,"s",5,"Branco/ Nulo",9
"AC084922018",FALSE,"s",5,"Outros",2
"AC084922018",FALSE,"s",5,"Petecao",46
"AC084922018",FALSE,"s",5,"Pedrazza",1
"AC084922018",FALSE,"s",5,"Ney Amorim",17
"AC084922018",FALSE,"s",5,"Minoru Kinpara",11
"AC084922018",FALSE,"s",5,"Marcio Bittar",27
"AC084922018",FALSE,"s",5,"Jorge Viana",18
"AC084922018",FALSE,"s",5,"BASE",812
"AL004612018",FALSE,"g",6,"Nao sabe/ Nao respondeu",43
"AL004612018",FALSE,"g",6,"Branco/ Nulo",21
"AL004612018",FALSE,"g",6,"Outros",4
"AL004612018",FALSE,"g",6,"Renan Filho",24
