tse_id,estimulada,position,scenario,candidate,value
BR028532018,True,pr,0,Não sabe,4.7
BR028532018,True,pr,0,Nenhum,17.5
BR028532018,True,pr,0,Jair Bolsonaro,20.5
BR028532018,True,pr,0,Marina Silva,12.0
BR028532018,True,pr,0,Joaquim Barbosa,11.0
BR028532018,True,pr,0,Ciro Gomes,9.7
BR028532018,True,pr,0,Geraldo Alckmin,8.1
BR028532018,True,pr,0,Alvaro Dias,5.9
BR028532018,True,pr,0,Fernando Haddad,2.7
BR028532018,True,pr,0,Manuela D'Ávila,2.1
BR028532018,True,pr,0,Michel Temer,1.7
BR028532018,True,pr,0,Flávio Rocha,1.0
BR028532018,True,pr,0,Outros nomes citados*,2.9
BR028532018,True,pr,1,Não sabe,3.2
BR028532018,True,pr,1,Nenhum,9.6
BR028532018,True,pr,1,Lula,27.6
BR028532018,True,pr,1,Jair Bolsonaro,19.5
BR028532018,True,pr,1,Joaquim Barbosa,9.2
BR028532018,True,pr,1,Marina Silva,7.7
BR028532018,True,pr,1,Geraldo Alckmin,6.9
BR028532018,True,pr,1,Ciro Gomes,5.5
BR028532018,True,pr,1,Alvaro Dias,5.4
BR028532018,True,pr,1,Manuela D'Ávila,1.2
BR028532018,True,pr,1,Michel Temer,1.1
BR028532018,True,pr,1,Outros nomes citados*,3.0
BR028532018,True,pr,2,Não sabe,4.7
BR028532018,True,pr,2,Nenhum,17.3
BR028532018,True,pr,2,Jair Bolsonaro,20.7
BR028532018,True,pr,2,Marina Silva,13.3
BR028532018,True,pr,2,Joaquim Barbosa,11.2
BR028532018,True,pr,2,Ciro Gomes,10.1
BR028532018,True,pr,2,Geraldo Alckmin,8.4
BR028532018,True,pr,2,Alvaro Dias,6.1
BR028532018,True,pr,2,Manuela D'Ávila,2.1
BR028532018,True,pr,2,Michel Temer,1.7
BR028532018,True,pr,2,Flávio Rocha,1.0
BR028532018,True,pr,2,Outros nomes citados*,3.3
BR067852018,True,pr,3,Não sabe,3.9
BR067852018,True,pr,3,Nenhum,8.6
BR067852018,True,pr,3,Jair Bolsonaro,53.0
BR067852018,True,pr,3,Fernando Haddad,34.4
BR044462018,True,pr,4,Não sabe,3.8
BR044462018,True,pr,4,Nenhum,9.4
BR044462018,True,pr,4,Jair Bolsonaro,52.9
BR044462018,True,pr,4,Fernando Haddad,33.9
BR084372018,True,pr,5,Não sabe,4.6
BR084372018,True,pr,5,Nenhum,10.1
BR084372018,True,pr,5,Jair Bolsonaro,34.9
BR084372018,True,pr,5,Fernando Haddad,21.8
BR084372018,True,pr,5,Ciro Gomes,9.4
BR084372018,True,pr,5,Geraldo Alckmin,7.4
BR084372018,True,pr,5,Marina Silva,3.5
BR084372018,True,pr,5,João Amoêdo,3.1
BR084372018,True,pr,5,Henrique Meirelles,1.7
BR084372018,True,pr,5,Alvaro Dias,1.4
BR084372018,True,pr,5,Cabo Daciolo,1.0
BR084372018,True,pr,5,Guilherme Boulos,0.6
BR084372018,True,pr,5,Vera,0.5
BR084372018,True,pr,5,Eymael,0.0
BR084372018,True,pr,5,João Goulart Filho,0.0
BR084372018,True,pr,6,Não sabe,3.3
BR084372018,True,pr,6,Nenhum,11.5
BR084372018,True,pr,6,Jair Bolsonaro,47.1
BR084372018,True,pr,6,Fernando Haddad,38.1
BR084372018,True,pr,7,Não sabe,3.3
BR084372018,True,pr,7,Nenhum,11.5
BR084372018,True,pr,7,Jair Bolsonaro,47.1
BR084372018,True,pr,7,Fernando Haddad,38.1
BR084372018,True,pr,8,Não sabe,3.2
BR084372018,True,pr,8,Nenhum,10.1
BR084372018,True,pr,8,Jair Bolsonaro,44.2
BR084372018,True,pr,8,Ciro Gomes,42.5
BR084372018,True,pr,9,Não sabe,3.2
BR084372018,True,pr,9,Nenhum,10.1
BR084372018,True,pr,9,Jair Bolsonaro,44.2
BR084372018,True,pr,9,Ciro Gomes,42.5
BR024102018,True,pr,10,Não sabe,5.8
BR024102018,True,pr,10,Nenhum,16.0
BR024102018,True,pr,10,Jair Bolsonaro,26.6
BR024102018,True,pr,10,Ciro Gomes,11.9
BR024102018,True,pr,10,Marina Silva,10.6
BR024102018,True,pr,10,Geraldo Alckmin,8.7
BR024102018,True,pr,10,Fernando Haddad,8.3
BR024102018,True,pr,10,Alvaro Dias,3.7
BR024102018,True,pr,10,João Amoêdo,3.3
BR024102018,True,pr,10,Henrique Meirelles,2.4
BR024102018,True,pr,10,Guilherme Boulos,0.8
BR024102018,True,pr,10,Vera,0.7
BR024102018,True,pr,10,Cabo Daciolo,0.6
BR024102018,True,pr,10,João Goulart Filho,0.4
BR024102018,True,pr,10,Eymael,0.2
BR024102018,True,pr,11,Não sabe,6.5
BR024102018,True,pr,11,Nenhum,17.4
BR024102018,True,pr,11,Jair Bolsonaro,27.1
BR024102018,True,pr,11,Ciro Gomes,14.5
BR024102018,True,pr,11,Marina Silva,12.4
BR024102018,True,pr,11,Geraldo Alckmin,8.9
BR024102018,True,pr,11,Alvaro Dias,3.8
BR024102018,True,pr,11,João Amoêdo,3.4
BR024102018,True,pr,11,Henrique Meirelles,2.7
BR024102018,True,pr,11,Guilherme Boulos,1.2
BR024102018,True,pr,11,Vera,0.7
BR024102018,True,pr,11,Cabo Daciolo,0.6
BR024102018,True,pr,11,João Goulart Filho,0.4
BR024102018,True,pr,11,Eymael,0.3
BR035122018,True,pr,12,Não sabe,6.3
BR035122018,True,pr,12,Nenhum,11.9
BR035122018,True,pr,12,Jair Bolsonaro,31.2
BR035122018,True,pr,12,Fernando Haddad,20.2
BR035122018,True,pr,12,Ciro Gomes,10.1
BR035122018,True,pr,12,Geraldo Alckmin,7.6
BR035122018,True,pr,12,Marina Silva,4.3
BR035122018,True,pr,12,João Amoêdo,3.8
BR035122018,True,pr,12,Alvaro Dias,1.9
BR035122018,True,pr,12,Henrique Meirelles,1.3
BR035122018,True,pr,12,Guilherme Boulos,0.4
BR035122018,True,pr,12,Cabo Daciolo,0.3
