codigo_tse,urnas_apuradas,eleitorado,abstencoes,total_votos,brancos,nulos,nome,numero,votos_validos,eleito
01392,"100,00",256673,82424,174249,3328,4473,SOCORRO NERI,40,61702,Não eleito
01392,"100,00",256673,82424,174249,3328,4473,TIÃO BOCALOM,11,104746,Eleito
27855,"100,00",592388,164739,427649,12706,36092,JHC,40,222147,Eleito
27855,"100,00",592388,164739,427649,12706,36092,ALFREDO GASPAR DE MENDONÇA,15,156704,Não eleito
02550,"100,00",1331613,298712,1032901,43232,78952,AMAZONINO MENDES,19,443747,Não eleito
02550,"100,00",1331613,298712,1032901,43232,78952,DAVID ALMEIDA,70,466970,Eleito
35157,"100,00",400549,75404,325145,5293,16948,ZÉ NETO,13,138073,Não eleito
35157,"100,00",400549,75404,325145,5293,16948,COLBERT MARTINS,15,164831,Eleito
39659,"100,00",231176,41994,189182,2367,6509,ZÉ RAIMUNDO,13,82942,Não eleito
39659,"100,00",231176,41994,189182,2367,6509,HERZEM GUSMÃO,15,97364,Eleito
13730,"100,00",222128,41365,180763,5278,11852,VITOR VALIM,90,83588,Eleito
13730,"100,00",222128,41365,180763,5278,11852,NAUMI AMORIM,55,80045,Não eleito
13897,"100,00",1821382,414959,1406423,35081,77798,CAPITÃO WAGNER,90,624892,Não eleito
13897,"100,00",1821382,414959,1406423,35081,77798,SARTO,12,668652,Eleito
56251,"100,00",262414,78541,183873,9789,11617,CELIA TAVARES,13,67111,Não eleito
56251,"100,00",262414,78541,183873,9789,11617,EUCLERIO SAMPAIO,25,95356,Eleito
56995,"100,00",327670,104526,223144,8112,11181,FABIO,18,91931,Não eleito
56995,"100,00",327670,104526,223144,8112,11181,SERGIO VIDIGAL,12,111920,Eleito
57037,"100,00",315224,90645,224579,9809,13793,ARNALDINHO BORGO,19,138741,Eleito
57037,"100,00",315224,90645,224579,9809,13793,MAX FILHO,45,62236,Não eleito
57053,"100,00",251464,65740,185724,4484,6090,JOAO COSER,13,72684,Não eleito
57053,"100,00",251464,65740,185724,4484,6090,DELEGADO PAZOLINI,10,102466,Eleito
92215,"100,00",269556,88723,180833,4928,10510,ANTONIO GOMIDE,13,64046,Não eleito
92215,"100,00",269556,88723,180833,4928,10510,ROBERTO NAVES,11,101349,Eleito
93734,"100,00",971221,356949,614272,26193,60546,VANDERLAN CARDOSO,55,250036,Não eleito
93734,"100,00",971221,356949,614272,26193,60546,MAGUITO VILELA,15,277497,Eleito
09210,"100,00",699954,180904,519050,12179,19649,EDUARDO BRAIDE,19,270557,Eleito
09210,"100,00",699954,180904,519050,12179,19649,DUARTE,10,216665,Não eleito
43710,"100,00",427575,98086,329489,12974,28760,FELIPE SALIBA,25,139987,Não eleito
43710,"100,00",427575,98086,329489,12974,28760,MARÍLIA,13,147768,Eleito
45535,"100,00",213886,76171,137715,5038,8398,DR LUCIANO,20,52515,Não eleito
45535,"100,00",213886,76171,137715,5038,8398,ANDRE MERLO,45,71764,Eleito
47333,"100,00",410339,119497,290842,7992,19972,WILSON REZATO,40,118349,Não eleito
47333,"100,00",410339,119497,290842,7992,19972,MARGARIDA SALOMÃO,13,144529,Eleito
54011,"100,00",225412,63545,161867,3473,8472,ELISA ARAÚJO,77,85990,Eleito
54011,"100,00",225412,63545,161867,3473,8472,TONY CARLOS,14,63932,Não eleito
90670,"100,00",378097,93745,284352,6325,12379,ABILIO,19,129777,Não eleito
90670,"100,00",378097,93745,284352,6325,12379,EMANUEL PINHEIRO,15,135871,Eleito
04278,"100,00",1009731,209721,800010,15897,29295,DELEGADO FEDERAL EGUCHI,51,364095,Não eleito
